Date,"Bitcoin"
2024-01-01,6371
2024-01-02,9267
2024-01-03,15761
2024-01-04,9113
2024-01-05,7212
2024-01-06,8129
2024-01-07,7615
2024-01-08,10479
2024-01-09,9055
2024-01-10,10265
2024-01-11,15688
2024-01-12,14010
2024-01-13,10451
2024-01-14,8739
2024-01-15,10071
2024-01-16,9023
2024-01-17,7798
2024-01-18,6906
2024-01-19,8999
2024-01-20,7571
2024-01-21,6542
2024-01-22,6955
2024-01-23,6690
2024-01-24,5830
2024-01-25,5774
2024-01-26,5843
2024-01-27,5340
2024-01-28,5150
2024-01-29,5880
2024-01-30,7239
2024-01-31,6229
2024-02-01,5854
2024-02-02,5720
2024-02-03,6204
2024-02-04,6781
2024-02-05,6931
2024-02-06,8956
2024-02-07,6820
2024-02-08,7976
2024-02-09,6974
2024-02-10,6054
2024-02-11,6050
2024-02-12,7503
2024-02-13,10839
2024-02-14,9289
2024-02-15,10038
2024-02-16,7801
2024-02-17,6253
2024-02-18,7812
2024-02-19,8678
2024-02-20,9521
2024-02-21,8399
2024-02-22,9947
2024-02-23,9718
2024-02-24,7932
2024-02-25,8259
2024-02-26,10299
2024-02-27,14446
2024-02-28,20477
2024-02-29,16555
2024-03-01,12211
2024-03-02,10569
2024-03-03,10206
2024-03-04,15014
2024-03-05,16472
2024-03-06,17254
2024-03-07,16422
2024-03-08,15235
2024-03-09,14119
2024-03-10,13484
2024-03-11,19061
2024-03-12,16282
2024-03-13,14524
2024-03-14,11299
2024-03-15,10551
2024-03-16,8614
2024-03-17,11592
2024-03-18,11871
2024-03-19,13959
2024-03-20,10501
2024-03-21,8702
2024-03-22,8515
2024-03-23,6815
2024-03-24,7100
2024-03-25,10977
2024-03-26,10235
2024-03-27,8689
2024-03-28,9566
2024-03-29,8094
2024-03-30,7194
2024-03-31,6700
2024-04-01,7496
2024-04-02,6802
2024-04-03,6831
2024-04-04,8353
2024-04-05,6781
2024-04-06,6196
2024-04-07,6006
2024-04-08,6306
2024-04-09,6019
2024-04-10,5867
2024-04-11,5981
2024-04-12,7927
2024-04-13,6476
2024-04-14,7149
2024-04-15,6992
2024-04-16,6602
2024-04-17,6796
2024-04-18,7602
2024-04-19,8069
2024-04-20,10654
2024-04-21,8430
2024-04-22,8347
2024-04-23,7770
2024-04-24,33363
2024-04-25,21055
2024-04-26,7760
2024-04-27,5919
2024-04-28,6030
2024-04-29,6164
2024-04-30,7101
2024-05-01,6396
2024-05-02,5825
2024-05-03,5283
2024-05-04,5517
2024-05-05,6143
2024-05-06,6340
2024-05-07,5708
2024-05-08,5566
2024-05-09,5271
2024-05-10,4536
2024-05-11,3888
2024-05-12,4606
2024-05-13,4888
2024-05-14,4991
2024-05-15,5253
2024-05-16,5059
2024-05-17,5195
2024-05-18,4646
2024-05-19,4577
2024-05-20,5262
2024-05-21,6404
2024-05-22,5667
2024-05-23,5214
2024-05-24,5170
2024-05-25,4603
2024-05-26,4916
2024-05-27,5105
2024-05-28,5341
2024-05-29,5595
2024-05-30,5270
2024-05-31,4909
2024-06-01,4289
2024-06-02,4610
2024-06-03,4948
2024-06-04,4713
2024-06-05,4909
2024-06-06,4558
2024-06-07,4392
2024-06-08,4084
2024-06-09,4082
2024-06-10,4316
2024-06-11,4501
2024-06-12,4740
