Date,"Solana"
2024-01-01,31
2024-01-02,39
2024-01-03,24
2024-01-04,24
2024-01-05,32
2024-01-06,23
2024-01-07,27
2024-01-08,63
2024-01-09,102
2024-01-10,29
2024-01-11,27
2024-01-12,28
2024-01-13,24
2024-01-14,20
2024-01-15,18
2024-01-16,31
2024-01-17,32
2024-01-18,27
2024-01-19,41
2024-01-20,35
2024-01-21,21
2024-01-22,26
2024-01-23,32
2024-01-24,20
2024-01-25,18
2024-01-26,22
2024-01-27,18
2024-01-28,15
2024-01-29,23
2024-01-30,23
2024-01-31,29
2024-02-01,27
2024-02-02,27
2024-02-03,27
2024-02-04,25
2024-02-05,21
2024-02-06,22
2024-02-07,22
2024-02-08,13
2024-02-09,24
2024-02-10,9
2024-02-11,22
2024-02-12,22
2024-02-13,21
2024-02-14,62
2024-02-15,19
2024-02-16,33
2024-02-17,20
2024-02-18,20
2024-02-19,25
2024-02-20,20
2024-02-21,25
2024-02-22,11
2024-02-23,27
2024-02-24,14
2024-02-25,20
2024-02-26,18
2024-02-27,36
2024-02-28,29
2024-02-29,28
2024-03-01,41
2024-03-02,21
2024-03-03,23
2024-03-04,36
2024-03-05,28
2024-03-06,28
2024-03-07,39
2024-03-08,28
2024-03-09,32
2024-03-10,39
2024-03-11,37
2024-03-12,37
2024-03-13,34
2024-03-14,49
2024-03-15,56
2024-03-16,58
2024-03-17,56
2024-03-18,81
2024-03-19,40
2024-03-20,44
2024-03-21,45
2024-03-22,53
2024-03-23,31
2024-03-24,35
2024-03-25,27
2024-03-26,42
2024-03-27,34
2024-03-28,39
2024-03-29,24
2024-03-30,39
2024-03-31,25
2024-04-01,31
2024-04-02,37
2024-04-03,25
2024-04-04,32
2024-04-05,24
2024-04-06,26
2024-04-07,32
2024-04-08,40
2024-04-09,31
2024-04-10,23
2024-04-11,26
2024-04-12,23
2024-04-13,18
2024-04-14,17
2024-04-15,24
2024-04-16,19
2024-04-17,18
2024-04-18,24
2024-04-19,23
2024-04-20,16
2024-04-21,16
2024-04-22,28
2024-04-23,18
2024-04-24,21
2024-04-25,34
2024-04-26,22
2024-04-27,18
2024-04-28,24
2024-04-29,22
2024-04-30,21
2024-05-01,22
2024-05-02,26
2024-05-03,21
2024-05-04,21
2024-05-05,13
2024-05-06,28
2024-05-07,21
2024-05-08,27
2024-05-09,26
2024-05-10,23
2024-05-11,16
2024-05-12,10
2024-05-13,20
2024-05-14,22
2024-05-15,21
2024-05-16,17
2024-05-17,24
2024-05-18,17
2024-05-19,14
2024-05-20,26
2024-05-21,38
2024-05-22,26
2024-05-23,39
2024-05-24,23
2024-05-25,21
2024-05-26,25
2024-05-27,34
2024-05-28,28
2024-05-29,29
2024-05-30,34
2024-05-31,26
2024-06-01,27
2024-06-02,14
2024-06-03,26
2024-06-04,29
2024-06-05,17
2024-06-06,23
2024-06-07,29
2024-06-08,19
2024-06-09,12
2024-06-10,27
2024-06-11,15
2024-06-12,23
