,Date,Price,Open,High,Low,Volume,Change %,TVL,weighted_sentiment,Tomorrow,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_pct_change,SNP_Price,SNP_Open,SNP_High,SNP_Low,SNP_Volume,SNP_pct_change,VIX_Price,VIX_Open,VIX_High,VIX_Low,VIX_pct_change,MA_td,3MA_td,%K_td,%D_td,RSI_td,Momentum_td,MACD_td,CCI_td,Wikipedia_Views,Google_Trends
0,2024-06-29,60973.4,60403.7,61192.8,60382.8,26560.0,0.009399999999999999,1004196509.1566406,-0.2399318314334511,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,3549,22.0
1,2024-06-28,60403.3,61684.6,62175.4,60081.9,58950.0,-0.0208,1025230736.409645,0.2413959613956941,1,2339.6,2338.6,2350.6,2329.7,140230.0,0.0013,5460.48,5488.48,5523.64,5451.12,,-0.0040999999999999995,12.44,12.24,12.76,11.87,0.0163,0,0,0,0,0,0,0,0,3687,26.0
2,2024-06-27,61685.3,60848.3,62351.2,60629.4,48790.0,0.0137,1015541216.6460572,0.335465113176064,0,2336.6,2309.4,2342.0,2306.8,140230.0,0.0155,5482.87,5473.59,5490.81,5467.54,,0.0009,12.24,12.69,12.77,12.21,-0.024700000000000003,0,0,0,0,0,0,1,0,4327,25.0
3,2024-06-26,60849.4,61809.9,62469.4,60715.1,54950.0,-0.0155,1035170175.6283972,0.2201862190203618,1,2301.0,2318.8,2320.5,2292.9,990.0,-0.0075,5477.9,5460.71,5483.14,5451.87,,0.0016,12.55,12.81,13.24,12.37,-0.0226,0,0,0,0,0,0,0,0,4297,27.0
4,2024-06-25,61809.4,60292.0,62266.0,60262.2,77280.0,0.0252,1001518353.133826,0.3998626259287554,0,2318.4,2334.4,2336.2,2314.8,1260.0,-0.006,5469.3,5460.73,5472.88,5446.56,,0.0039000000000000003,12.84,13.48,13.52,12.84,-0.0368,0,0,0,0,0,0,1,0,4558,32.0
5,2024-06-24,60292.7,63201.6,63357.1,58589.9,120600.0,-0.045899999999999996,1058626241.4330472,-0.0647018241804674,1,2332.4,2322.1,2334.7,2318.0,600.0,0.005699999999999999,5447.87,5459.58,5490.66,5447.59,,-0.0031,13.33,13.85,13.88,13.15,0.0098,0,0,0,0,0,0,0,0,5120,35.0
6,2024-06-23,63196.2,64261.0,64518.9,63195.3,19940.0,-0.0166,1068952810.4192008,0.3660949859746667,0,2319.1,2361.5,2370.0,2318.0,600.0,-0.0161,5464.62,5466.77,5478.31,5452.03,,-0.0016,13.2,13.22,13.78,12.99,-0.006,0,0,0,0,0,0,1,0,4215,22.0
7,2024-06-22,64261.0,64131.9,64523.9,63944.0,17550.0,0.0021,1064867154.001878,0.4878136963799692,0,2319.1,2361.5,2370.0,2318.0,600.0,-0.0161,5464.62,5466.77,5478.31,5452.03,,-0.0016,13.2,13.22,13.78,12.99,-0.006,0,0,0,0,0,0,1,0,4226,23.0
8,2024-06-21,64128.5,64854.3,65054.9,63427.9,60860.0,-0.011200000000000002,1080487616.1032956,0.3619463067713634,1,2319.1,2361.5,2370.0,2318.0,600.0,-0.0161,5464.62,5466.77,5478.31,5452.03,,-0.0016,13.2,13.22,13.78,12.99,-0.006,0,0,0,0,0,0,1,0,4597,27.0
9,2024-06-20,64854.3,64982.1,66474.2,64566.7,56240.0,-0.0019,1081036283.22191,0.5512238281473274,0,2357.0,2331.4,2367.0,2327.0,830.0,0.006,5473.17,5499.99,5505.53,5455.56,,-0.0025,13.28,12.5,13.55,12.18,0.0641,1,0,0,0,0,0,1,0,4672,27.0
10,2024-06-19,64980.9,65159.8,65706.4,64705.6,42960.0,-0.0027,1080559018.87825,-0.0034841556406851,0,2343.0,2342.95,2349.65,2338.6,390.0,0.0034999999999999996,5487.03,5476.15,5490.38,5471.32,,0.0025,12.48,12.32,12.55,12.32,0.0146,1,0,1,0,0,1,1,0,4629,27.0
11,2024-06-18,65159.9,66495.7,66571.2,64098.4,93720.0,-0.020099999999999996,1104142340.4954448,0.3446489199880138,0,2334.8,2323.3,2334.5,2309.1,390.0,0.0077,5487.03,5476.15,5490.38,5471.32,,0.0025,12.3,12.7,12.74,12.24,-0.0353,1,0,1,0,0,1,1,0,4733,28.0
12,2024-06-17,66498.8,66672.9,67253.8,65115.4,66090.0,-0.0026,1106452885.7164795,0.1932928816987752,0,2316.9,2336.0,2336.0,2312.4,450.0,-0.0137,5473.23,5431.11,5488.5,5420.4,,0.0077,12.75,13.07,13.29,12.5,0.0070999999999999995,1,0,1,1,0,1,1,0,5475,28.0
13,2024-06-16,66674.7,66223.0,66951.4,66038.1,20740.0,0.0068000000000000005,1099099328.7015069,-0.0702869822809654,0,2349.1,2319.6,2352.3,2316.7,163370.0,0.0134,5431.6,5424.08,5432.39,5403.75,,-0.0004,12.66,12.22,13.45,12.12,0.0603,1,0,1,1,-1,1,1,0,11129,23.0
14,2024-06-15,66223.0,66034.1,66446.4,65895.1,24050.0,0.0029,1097270458.9574504,0.2962997870173926,1,2349.1,2319.6,2352.3,2316.7,163370.0,0.0134,5431.6,5424.08,5432.39,5403.75,,-0.0004,12.66,12.22,13.45,12.12,0.0603,1,0,0,1,-1,1,1,0,17820,23.0
15,2024-06-14,66034.8,66775.2,67347.7,65076.5,65180.00000000001,-0.0111,1112105621.759316,0.2386481097947889,1,2349.1,2319.6,2352.3,2316.7,163370.0,0.0134,5431.6,5424.08,5432.39,5403.75,,-0.0004,12.66,12.22,13.45,12.12,0.0603,1,0,0,0,-1,1,1,0,4538,30.0
16,2024-06-13,66773.1,68260.6,68384.6,66324.3,66360.0,-0.0218,1137872232.601621,0.3137010667435314,0,2318.0,2340.9,2342.4,2310.9,182660.0,-0.015600000000000001,5433.74,5441.93,5441.93,5402.51,,0.0023,11.94,12.05,12.68,11.88,-0.0083,1,0,0,0,-1,1,1,0,4649,29.0
17,2024-06-12,68260.1,67320.9,69990.8,66911.5,85550.0,0.013999999999999999,1123683852.016919,0.3289957734964174,0,2354.8,2334.0,2358.8,2327.2,241670.0,0.0121,5421.03,5409.13,5447.25,5409.13,,0.0085,12.04,13.1,13.15,11.94,-0.063,1,0,1,0,-1,1,1,0,4740,30.0
18,2024-06-11,67319.8,69537.9,69573.3,66197.8,96700.0,-0.0319,1162263754.4737196,0.1819152859131364,1,2326.6,2329.5,2337.3,2314.5,145500.0,-0.0002,5375.32,5353.0,5375.95,5327.25,,0.0027,12.85,12.85,13.47,12.78,0.0086,1,0,0,0,-1,1,1,0,4501,32.0
19,2024-06-10,69538.2,69650.2,70152.5,69259.9,39120.0,-0.0016,1164491247.0517051,0.3801764985609219,0,2327.0,2311.0,2331.3,2304.5,142890.0,0.0009,5360.79,5341.22,5365.79,5331.52,,0.0026,12.74,13.09,13.28,12.62,0.0426,1,0,1,1,-1,1,1,-1,4316,27.0
20,2024-06-09,69650.6,69310.5,69847.8,69136.7,20990.0,0.0049,1158554012.969358,0.1190318025649961,0,2325.0,2395.7,2406.7,2304.2,314550.0,-0.0276,5346.99,5343.81,5375.08,5331.33,,-0.0011,12.22,12.69,13.08,12.11,-0.0286,1,0,1,1,-1,1,1,-1,4082,25.0
21,2024-06-08,69310.1,69347.0,69572.1,69222.4,23030.0,-0.0005,1159399106.6746278,-0.0526844814237066,1,2325.0,2395.7,2406.7,2304.2,314550.0,-0.0276,5346.99,5343.81,5375.08,5331.33,,-0.0011,12.22,12.69,13.08,12.11,-0.0286,1,0,0,1,-1,1,1,-1,4084,27.0
22,2024-06-07,69347.9,70793.4,71956.5,68620.7,82620.0,-0.0204,1186340539.2537322,-0.0706056735374482,0,2325.0,2395.7,2406.7,2304.2,314550.0,-0.0276,5346.99,5343.81,5375.08,5331.33,,-0.0011,12.22,12.69,13.08,12.11,-0.0286,1,0,0,0,-1,1,1,-1,4392,32.0
23,2024-06-06,70791.5,71083.6,71616.1,70178.7,49790.0,-0.0040999999999999995,1192592052.8855455,-0.3974431898345012,0,2390.9,2375.3,2397.8,2372.2,172200.0,0.006500000000000001,5352.96,5357.8,5362.35,5335.36,,-0.0002,12.58,12.75,12.98,12.54,-0.004,1,0,1,0,-1,1,1,-1,4558,32.0
24,2024-06-05,71083.7,70550.9,71744.4,70397.1,67060.0,0.0076,1195948698.0973654,0.1300967684136979,0,2375.5,2347.1,2377.6,2345.3,171860.0,0.012,5354.03,5314.48,5354.16,5297.64,,0.0118,12.63,13.14,13.25,12.6,-0.0403,1,0,1,1,-1,1,1,-1,4909,34.0
25,2024-06-04,70549.2,68808.0,71034.2,68564.3,75690.0,0.0253,1166483982.760765,0.079258237533463,1,2347.4,2371.3,2373.1,2335.1,171550.0,-0.0092,5291.34,5278.24,5298.8,5257.63,,0.0015,13.16,13.51,14.08,13.11,0.0038,1,0,0,1,-1,1,0,0,4713,29.0
26,2024-06-03,68807.8,67763.3,70131.0,67616.8,69420.0,0.015300000000000001,1145947560.522376,0.337553600873315,1,2369.3,2348.0,2375.5,2334.8,173150.0,0.01,5283.4,5297.15,5302.11,5234.32,,0.0011,13.11,13.08,14.31,13.0,0.0147,0,0,0,0,0,1,0,0,4948,29.0
27,2024-06-02,67773.5,67760.8,68447.5,67330.6,30630.0,0.0002,1144634501.8089557,0.2196839157876835,1,2345.8,2364.5,2381.2,2341.1,183410.0,-0.0087,5277.51,5243.21,5280.33,5191.68,,0.008,12.92,14.5,14.87,12.84,-0.10710000000000001,0,0,0,0,0,0,0,0,4610,24.0
28,2024-06-01,67760.8,67533.9,67861.0,67449.6,19010.0,0.0034000000000000002,1141170940.1752748,0.1100932961324616,1,2345.8,2364.5,2381.2,2341.1,183410.0,-0.0087,5277.51,5243.21,5280.33,5191.68,,0.008,12.92,14.5,14.87,12.84,-0.10710000000000001,0,0,0,0,0,1,0,0,4289,23.0
29,2024-05-31,67530.1,68352.3,69018.2,66676.8,61510.0,-0.0121,1155141781.1258953,0.3890879971630608,1,2345.8,2364.5,2381.2,2341.1,183410.0,-0.0087,5277.51,5243.21,5280.33,5191.68,,0.008,12.92,14.5,14.87,12.84,-0.10710000000000001,0,1,1,0,0,0,0,0,4909,26.0
30,2024-05-30,68354.7,67631.3,69504.7,67138.4,66840.0,0.0106,1145819220.735921,0.101036299454107,0,2366.5,2361.0,2373.7,2343.3,188890.0,0.0062,5235.48,5259.77,5260.21,5222.1,,-0.006,14.47,14.82,14.88,13.67,0.013300000000000001,0,1,1,1,0,0,0,0,5270,28.0
31,2024-05-29,67635.8,68366.2,68897.6,67143.2,52130.0,-0.010700000000000001,1161183572.6641614,0.034376165572539,1,2352.0,2372.9,2373.5,2346.0,2830.0,-0.006500000000000001,5266.95,5278.73,5282.27,5262.7,,-0.0074,14.28,13.75,14.32,13.69,0.10529999999999999,0,1,0,1,0,0,0,0,5595,28.0
32,2024-05-28,68366.0,69428.3,69560.7,67299.9,71390.0,-0.015300000000000001,1185669736.330104,0.1794786431812093,0,2367.3,2348.7,2375.2,2347.7,1490.0,0.0046,5306.04,5315.91,5315.91,5280.89,,0.0002,12.92,12.51,13.44,12.36,0.0453,0,1,1,1,0,0,0,0,5341,31.0
33,2024-05-27,69428.7,68514.6,70638.3,68275.2,49070.0,0.013300000000000001,1169233155.6963344,0.0629745700436932,0,2356.5,2338.0,2365.5,2333.8,308910.0,0.004699999999999999,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,12.36,12.41,12.49,12.35,0.036000000000000004,1,1,1,1,0,0,1,0,5105,30.0
34,2024-05-26,68514.8,69287.2,69494.0,68294.5,24580.0,-0.0111,1174852187.3250854,0.3929580986066089,1,2345.4,2341.5,2357.1,2339.1,690.0,-0.0012,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,11.93,12.86,12.89,11.89,-0.0658,1,1,0,1,0,0,0,0,4916,26.0
35,2024-05-25,69284.4,68548.2,69558.8,68516.1,25170.0,0.010700000000000001,1168780378.156679,0.527574832965627,0,2345.4,2341.5,2357.1,2339.1,690.0,-0.0012,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,11.93,12.86,12.89,11.89,-0.0658,1,1,1,1,0,0,0,0,4603,27.0
36,2024-05-24,68547.6,67971.1,69212.0,66685.8,63280.0,0.0084,1147126217.8798823,0.1312558945670263,1,2345.4,2341.5,2357.1,2339.1,690.0,-0.0012,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,11.93,12.86,12.89,11.89,-0.0658,1,1,0,0,0,0,0,0,5170,32.0
37,2024-05-23,67975.7,69166.3,70041.0,66578.1,89450.0,-0.0171,1177514908.662004,0.4183702255558818,1,2348.2,2393.2,2395.3,2340.0,1140.0,-0.0231,5267.84,5340.26,5341.88,5256.93,,-0.0074,12.77,11.53,13.37,11.52,0.0391,0,1,0,0,0,1,0,0,5214,33.0
38,2024-05-22,69155.4,70141.0,70593.4,69024.3,65080.0,-0.013999999999999999,1187731708.449543,0.5794614061299804,0,2403.7,2436.3,2440.0,2392.1,710.0,-0.013600000000000001,5307.01,5319.28,5323.18,5286.01,,-0.0027,12.29,12.05,12.81,11.78,0.0363,1,1,1,0,0,1,0,0,5667,35.0
39,2024-05-21,70139.9,71430.5,71872.0,69181.7,108560.0,-0.018000000000000002,1189566437.2460618,0.3669383418016558,0,2436.9,2442.3,2448.4,2420.2,540.0,-0.0051,5321.41,5298.69,5324.32,5297.87,,0.0025,11.86,12.3,12.56,11.84,-0.0239,1,1,1,1,0,1,1,-1,6404,41.0
40,2024-05-20,71422.7,66278.3,71482.8,66076.5,112660.0,0.0776,1136918598.5427878,-0.129129196834929,0,2449.5,2438.6,2464.5,2425.6,700.0,0.0086,5308.13,5305.35,5325.32,5302.4,,0.0009,12.15,12.27,12.59,12.07,0.013300000000000001,1,1,1,1,0,1,1,0,5262,34.0
41,2024-05-19,66279.1,66919.0,67662.5,65937.3,36190.0,-0.0095,1147152391.945107,0.2637540223902211,1,2428.6,2392.8,2433.6,2389.2,270.0,0.0134,5303.27,5303.1,5305.45,5283.59,,0.0012,11.99,12.28,12.48,11.91,-0.0346,0,0,0,0,0,0,0,1,4577,27.0
42,2024-05-18,66917.5,67036.6,67361.4,66636.1,29680.0,-0.0018,1137132623.6510434,-0.1946279040360466,0,2428.6,2392.8,2433.6,2389.2,270.0,0.0134,5303.27,5303.1,5305.45,5283.59,,0.0012,11.99,12.28,12.48,11.91,-0.0346,0,0,1,0,0,0,0,1,4646,27.0
43,2024-05-17,67036.8,65231.1,67420.7,65121.7,63090.0,0.0277,1104176529.604958,0.3759353031587401,0,2428.6,2392.8,2433.6,2389.2,270.0,0.0134,5303.27,5303.1,5305.45,5283.59,,0.0012,11.99,12.28,12.48,11.91,-0.0346,0,0,1,0,0,0,0,1,5195,30.0
44,2024-05-16,65231.0,66219.6,66643.9,64623.3,72550.0,-0.015,1126078082.9618058,0.2457248809927191,1,2396.4,2401.0,2413.1,2387.0,360.0,-0.0039000000000000003,5297.1,5310.07,5325.49,5296.19,,-0.0021,12.42,12.52,12.67,12.33,-0.0024,0,0,0,1,0,0,0,1,5059,34.0
