,Date,Price,Open,High,Low,Volume,pct_change,Tomorrow,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_pct_change,SNP_Price,SNP_Open,SNP_High,SNP_Low,SNP_Volume,SNP_pct_change,VIX_Price,VIX_Open,VIX_High,VIX_Low,VIX_pct_change,MA_td,3MA_td,%K_td,%D_td,RSI_td,Momentum_td,MACD_td,CCI_td
0,2024-06-11,3536.02,3667.85,3672.92,3503.9,362530.0,-0.0359,0,2329.6,2327.15,2337.15,2314.6,142890.0,0.0011,5342.05,5346.41,5346.54,5342.05,,-0.0034999999999999996,13.16,12.74,13.26,12.74,0.033,0,0,0,0,0,0,0,0
1,2024-06-10,3667.85,3706.32,3711.9,3650.33,165290.0,-0.0104,0,2327.0,2311.0,2331.3,2304.5,142890.0,0.0009,5360.79,5341.22,5365.79,5331.52,,0.0026,12.74,13.09,13.28,12.62,0.0426,0,0,0,0,0,0,1,0
2,2024-06-09,3706.32,3681.59,3719.02,3668.45,108790.0,0.0067,0,2325.0,2395.7,2406.7,2304.2,314550.0,-0.0276,5346.99,5343.81,5375.08,5331.33,,-0.0011,12.22,12.69,13.08,12.11,-0.0286,0,0,0,0,0,0,1,0
3,2024-06-08,3681.59,3678.36,3709.44,3670.34,147950.0,0.0009,1,2325.0,2395.7,2406.7,2304.2,314550.0,-0.0276,5346.99,5343.81,5375.08,5331.33,,-0.0011,12.22,12.69,13.08,12.11,-0.0286,0,0,0,0,0,0,1,0
4,2024-06-07,3678.37,3812.95,3840.88,3608.44,384780.0,-0.0353,1,2325.0,2395.7,2406.7,2304.2,314550.0,-0.0276,5346.99,5343.81,5375.08,5331.33,,-0.0011,12.22,12.69,13.08,12.11,-0.0286,0,0,0,0,0,0,1,0
5,2024-06-06,3812.95,3865.15,3878.28,3765.23,251820.0,-0.013500000000000002,0,2390.9,2375.3,2397.8,2372.2,172200.0,0.006500000000000001,5352.96,5357.8,5362.35,5335.36,,-0.0002,12.58,12.75,12.98,12.54,-0.004,0,0,0,0,0,0,1,0
6,2024-06-05,3865.14,3810.35,3885.15,3778.13,288180.0,0.0144,0,2375.5,2347.1,2377.6,2345.3,171860.0,0.012,5354.03,5314.48,5354.16,5297.64,,0.0118,12.63,13.14,13.25,12.6,-0.0403,0,0,0,0,0,0,1,0
7,2024-06-04,3810.35,3767.1,3831.41,3743.11,247960.0,0.0115,1,2347.4,2371.3,2373.1,2335.1,171550.0,-0.0092,5291.34,5278.24,5298.8,5257.63,,0.0015,13.16,13.51,14.08,13.11,0.0038,0,0,0,0,0,0,1,0
8,2024-06-03,3767.1,3782.06,3849.47,3759.07,262390.0,-0.004,1,2369.3,2348.0,2375.5,2334.8,173150.0,0.01,5283.4,5297.15,5302.11,5234.32,,0.0011,13.11,13.08,14.31,13.0,0.0147,0,0,0,0,0,0,1,0
9,2024-06-02,3782.08,3815.95,3838.34,3753.62,219620.0,-0.0089,0,2345.8,2364.5,2381.2,2341.1,183410.0,-0.0087,5277.51,5243.21,5280.33,5191.68,,0.008,12.92,14.5,14.87,12.84,-0.10710000000000001,1,0,0,0,0,0,1,0
10,2024-06-01,3815.95,3762.63,3832.35,3753.32,143810.0,0.014199999999999999,0,2345.8,2364.5,2381.2,2341.1,183410.0,-0.0087,5277.51,5243.21,5280.33,5191.68,,0.008,12.92,14.5,14.87,12.84,-0.10710000000000001,1,0,1,0,0,1,1,0
11,2024-05-31,3762.66,3747.89,3844.96,3724.57,294560.0,0.004,1,2345.8,2364.5,2381.2,2341.1,183410.0,-0.0087,5277.51,5243.21,5280.33,5191.68,,0.008,12.92,14.5,14.87,12.84,-0.10710000000000001,0,0,0,0,0,1,0,0
12,2024-05-30,3747.55,3767.22,3824.94,3703.74,293810.0,-0.0058,1,2366.5,2361.0,2373.7,2343.3,188890.0,0.0062,5235.48,5259.77,5260.21,5222.1,,-0.006,14.47,14.82,14.88,13.67,0.013300000000000001,0,0,0,0,0,1,0,0
13,2024-05-29,3769.57,3845.56,3886.44,3745.72,353250.0,-0.019799999999999998,0,2352.0,2372.9,2373.5,2346.0,2830.0,-0.006500000000000001,5266.95,5278.73,5282.27,5262.7,,-0.0074,14.28,13.75,14.32,13.69,0.10529999999999999,0,0,1,0,0,1,0,0
14,2024-05-28,3845.56,3894.33,3929.21,3775.08,436240.0,-0.0125,0,2367.3,2348.7,2375.2,2347.7,1490.0,0.0046,5306.04,5315.91,5315.91,5280.89,,0.0002,12.92,12.51,13.44,12.36,0.0453,1,0,1,1,-1,1,1,0
15,2024-05-27,3894.33,3825.99,3976.0,3824.33,393850.0,0.0179,0,2356.5,2338.0,2365.5,2333.8,308910.0,0.004699999999999999,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,12.36,12.41,12.49,12.35,0.036000000000000004,1,0,1,1,0,1,1,0
16,2024-05-26,3826.02,3749.28,3881.62,3733.77,313070.0,0.020499999999999997,1,2345.4,2341.5,2357.1,2339.1,690.0,-0.0012,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,11.93,12.86,12.89,11.89,-0.0658,1,0,0,0,0,0,0,0
17,2024-05-25,3749.28,3728.32,3776.75,3709.7,170390.0,0.005699999999999999,1,2345.4,2341.5,2357.1,2339.1,690.0,-0.0012,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,11.93,12.86,12.89,11.89,-0.0658,0,0,0,0,0,0,0,0
18,2024-05-24,3728.21,3785.61,3829.13,3635.18,514000.0,-0.0152,1,2345.4,2341.5,2357.1,2339.1,690.0,-0.0012,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,11.93,12.86,12.89,11.89,-0.0658,0,0,1,0,0,0,0,0
19,2024-05-23,3785.65,3739.07,3941.42,3645.49,1190000.0,0.0125,0,2348.2,2393.2,2395.3,2340.0,1140.0,-0.0231,5267.84,5340.26,5341.88,5256.93,,-0.0074,12.77,11.53,13.37,11.52,0.0391,0,0,1,0,0,1,0,0
20,2024-05-22,3739.08,3790.42,3810.5,3654.54,597460.0,-0.013600000000000001,1,2403.7,2436.3,2440.0,2392.1,710.0,-0.013600000000000001,5307.01,5319.28,5323.18,5286.01,,-0.0027,12.29,12.05,12.81,11.78,0.0363,0,0,0,1,0,0,0,0
21,2024-05-21,3790.46,3661.04,3833.07,3630.71,1010000.0,0.0353,0,2436.9,2442.3,2448.4,2420.2,540.0,-0.0051,5321.41,5298.69,5324.32,5297.87,,0.0025,11.86,12.3,12.56,11.84,-0.0239,1,0,1,1,0,1,0,0
22,2024-05-20,3661.07,3072.07,3679.47,3048.33,899510.0,0.1917,1,2449.5,2438.6,2464.5,2425.6,700.0,0.0086,5308.13,5305.35,5325.32,5302.4,,0.0009,12.15,12.27,12.59,12.07,0.013300000000000001,0,0,1,1,0,0,0,1
23,2024-05-19,3072.08,3122.87,3135.99,3058.31,170990.0,-0.0163,1,2428.6,2392.8,2433.6,2389.2,270.0,0.0134,5303.27,5303.1,5305.45,5283.59,,0.0012,11.99,12.28,12.48,11.91,-0.0346,0,0,0,0,1,0,0,1
24,2024-05-18,3122.87,3092.09,3145.59,3084.73,205740.0,0.0097,0,2428.6,2392.8,2433.6,2389.2,270.0,0.0134,5303.27,5303.1,5305.45,5283.59,,0.0012,11.99,12.28,12.48,11.91,-0.0346,0,0,1,0,1,0,0,1
25,2024-05-17,3092.75,2944.99,3116.65,2933.39,369550.0,0.050199999999999995,1,2428.6,2392.8,2433.6,2389.2,270.0,0.0134,5303.27,5303.1,5305.45,5283.59,,0.0012,11.99,12.28,12.48,11.91,-0.0346,0,0,1,0,1,0,0,1
26,2024-05-16,2944.99,3032.64,3040.62,2924.2,306250.0,-0.0296,1,2396.4,2401.0,2413.1,2387.0,360.0,-0.0039000000000000003,5297.1,5310.07,5325.49,5296.19,,-0.0021,12.42,12.52,12.67,12.33,-0.0024,0,0,0,0,1,0,0,1
27,2024-05-15,3034.71,2881.99,3041.11,2864.5,363900.0,0.053,0,2405.8,2372.2,2406.3,2370.9,350.0,0.0148,5308.15,5263.26,5311.76,5263.26,,0.011699999999999999,12.45,13.73,13.94,12.38,-0.0723,0,0,1,1,1,0,0,1
