,Date,Price,Open,High,Low,Volume,pct_change,Tomorrow,Gold_Price,Gold_Open,Gold_High,Gold_Low,Gold_Volume,Gold_pct_change,SNP_Price,SNP_Open,SNP_High,SNP_Low,SNP_Volume,SNP_pct_change,VIX_Price,VIX_Open,VIX_High,VIX_Low,VIX_pct_change,MA_td,3MA_td,%K_td,%D_td,RSI_td,Momentum_td,MACD_td,CCI_td
0,2024-06-08,161.119,162.504,163.716,158.516,5150000.0,-0.0085,0,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0
1,2024-06-07,162.504,170.114,172.583,155.049,5110000.0,-0.0447,0,2325.0,2395.7,2406.7,2304.2,172200.0,-0.0276,5346.99,5343.81,5375.08,5331.33,,-0.0011,12.22,12.69,13.08,12.11,-0.0286,0,0,0,0,0,0,1,0
2,2024-06-06,170.106,173.491,174.371,167.754,3070000.0,-0.0195,0,2390.9,2375.3,2397.8,2372.2,172200.0,0.006500000000000001,5352.96,5357.8,5362.35,5335.36,,-0.0002,12.58,12.75,12.98,12.54,-0.004,0,0,0,0,0,0,1,0
3,2024-06-05,173.491,171.784,175.565,171.207,3800000.0,0.01,0,2375.5,2347.1,2377.6,2345.3,171860.0,0.012,5354.03,5314.48,5354.16,5297.64,,0.0118,12.63,13.14,13.25,12.6,-0.0403,0,0,0,0,0,0,1,0
4,2024-06-04,171.778,164.898,171.859,164.446,3290000.0,0.041299999999999996,1,2347.4,2371.3,2373.1,2335.1,171550.0,-0.0092,5291.34,5278.24,5298.8,5257.63,,0.0015,13.16,13.51,14.08,13.11,0.0038,0,0,0,0,0,0,1,0
5,2024-06-03,164.958,163.243,167.095,161.793,3570000.0,0.0105,1,2369.3,2348.0,2375.5,2334.8,173150.0,0.01,5283.4,5297.15,5302.11,5234.32,,0.0011,13.11,13.08,14.31,13.0,0.0147,0,0,0,0,0,0,0,0
6,2024-06-02,163.241,166.116,167.055,161.415,2610000.0,-0.0173,1,2345.8,2364.5,2381.2,2341.1,183410.0,-0.0087,5277.51,5243.21,5280.33,5191.68,,0.008,12.92,14.5,14.87,12.84,-0.10710000000000001,0,0,0,0,0,0,0,0
7,2024-06-01,166.116,165.58,167.857,165.58,1650000.0,0.0032,0,2345.8,2364.5,2381.2,2341.1,183410.0,-0.0087,5277.51,5243.21,5280.33,5191.68,,0.008,12.92,14.5,14.87,12.84,-0.10710000000000001,0,0,0,0,0,0,0,0
8,2024-05-31,165.58,166.847,170.821,164.024,3820000.0,-0.0079,1,2345.8,2364.5,2381.2,2341.1,183410.0,-0.0087,5277.51,5243.21,5280.33,5191.68,,0.008,12.92,14.5,14.87,12.84,-0.10710000000000001,0,0,0,0,0,0,0,0
9,2024-05-30,166.895,168.276,172.361,163.638,4860000.0,-0.0083,0,2366.5,2361.0,2373.7,2343.3,188890.0,0.0062,5235.48,5259.77,5260.21,5222.1,,-0.006,14.47,14.82,14.88,13.67,0.013300000000000001,1,0,0,0,0,0,1,0
10,2024-05-29,168.291,168.695,173.765,167.307,4600000.0,-0.0024,0,2352.0,2372.9,2373.5,2346.0,2830.0,-0.006500000000000001,5266.95,5278.73,5282.27,5262.7,,-0.0074,14.28,13.75,14.32,13.69,0.10529999999999999,1,0,1,0,0,1,1,0
11,2024-05-28,168.694,170.132,173.139,165.068,5320000.0,-0.0084,0,2367.3,2348.7,2375.2,2347.7,1490.0,0.0046,5306.04,5315.91,5315.91,5280.89,,0.0002,12.92,12.51,13.44,12.36,0.0453,1,0,0,0,0,1,1,0
12,2024-05-27,170.124,163.356,172.203,163.356,4170000.0,0.0414,0,2356.5,2338.0,2365.5,2333.8,308910.0,0.004699999999999999,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,12.36,12.41,12.49,12.35,0.036000000000000004,1,0,1,1,0,0,1,0
13,2024-05-26,163.354,168.379,168.388,161.18,4300000.0,-0.029900000000000003,1,2345.4,2341.5,2357.1,2339.1,690.0,-0.0012,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,11.93,12.86,12.89,11.89,-0.0658,0,0,0,0,0,0,0,0
14,2024-05-25,168.385,167.775,170.406,166.077,3030000.0,0.0036,0,2345.4,2341.5,2357.1,2339.1,690.0,-0.0012,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,11.93,12.86,12.89,11.89,-0.0658,1,0,1,1,0,0,1,0
15,2024-05-24,167.785,176.04,176.077,162.703,6890000.0,-0.046900000000000004,1,2345.4,2341.5,2357.1,2339.1,690.0,-0.0012,5304.72,5281.45,5311.65,5278.39,,0.006999999999999999,11.93,12.86,12.89,11.89,-0.0658,1,0,0,0,0,1,0,0
16,2024-05-23,176.04,176.955,180.71,167.284,8440000.0,-0.005600000000000001,0,2348.2,2393.2,2395.3,2340.0,1140.0,-0.0231,5267.84,5340.26,5341.88,5256.93,,-0.0074,12.77,11.53,13.37,11.52,0.0391,1,0,1,1,0,1,1,0
17,2024-05-22,177.027,178.179,183.244,175.1,5950000.0,-0.006500000000000001,0,2403.7,2436.3,2440.0,2392.1,710.0,-0.013600000000000001,5307.01,5319.28,5323.18,5286.01,,-0.0027,12.29,12.05,12.81,11.78,0.0363,1,0,0,1,0,1,1,0
18,2024-05-21,178.179,186.752,188.752,174.507,7580000.0,-0.0461,0,2436.9,2442.3,2448.4,2420.2,540.0,-0.0051,5321.41,5298.69,5324.32,5297.87,,0.0025,11.86,12.3,12.56,11.84,-0.0239,1,0,0,1,0,1,1,0
19,2024-05-20,186.788,169.932,188.229,167.848,6980000.0,0.0992,0,2449.5,2438.6,2464.5,2425.6,700.0,0.0086,5308.13,5305.35,5325.32,5302.4,,0.0009,12.15,12.27,12.59,12.07,0.013300000000000001,1,0,1,1,-1,1,1,-1
20,2024-05-19,169.936,172.441,175.372,166.432,3450000.0,-0.014499999999999999,1,2428.6,2392.8,2433.6,2389.2,270.0,0.0134,5303.27,5303.1,5305.45,5283.59,,0.0012,11.99,12.28,12.48,11.91,-0.0346,0,0,0,0,0,1,0,0
21,2024-05-18,172.441,169.439,175.983,168.742,3860000.0,0.0177,0,2428.6,2392.8,2433.6,2389.2,270.0,0.0134,5303.27,5303.1,5305.45,5283.59,,0.0012,11.99,12.28,12.48,11.91,-0.0346,0,0,1,0,0,1,0,0
22,2024-05-17,169.441,159.32,171.959,159.301,5470000.0,0.0636,1,2428.6,2392.8,2433.6,2389.2,270.0,0.0134,5303.27,5303.1,5305.45,5283.59,,0.0012,11.99,12.28,12.48,11.91,-0.0346,0,0,0,0,0,0,0,0
23,2024-05-16,159.306,158.285,164.395,156.778,6090000.0,0.006500000000000001,1,2396.4,2401.0,2413.1,2387.0,360.0,-0.0039000000000000003,5297.1,5310.07,5325.49,5296.19,,-0.0021,12.42,12.52,12.67,12.33,-0.0024,0,0,0,0,0,0,0,1
24,2024-05-15,158.285,142.021,158.73,141.362,6790000.0,0.11449999999999999,1,2405.8,2372.2,2406.3,2370.9,350.0,0.0148,5308.15,5263.26,5311.76,5263.26,,0.011699999999999999,12.45,13.73,13.94,12.38,-0.0723,0,0,1,0,0,0,0,1
25,2024-05-14,142.023,147.395,148.949,141.927,4730000.0,-0.0366,1,2370.6,2354.6,2375.7,2352.3,160.0,0.0070999999999999995,5246.68,5221.1,5250.37,5217.98,,0.0048,13.42,13.71,14.03,13.27,-0.0132,0,0,0,0,0,0,0,1
26,2024-05-13,147.411,143.417,150.564,138.008,5920000.0,0.0278,0,2353.8,2379.8,2380.6,2349.5,150.0,-0.0089,5221.42,5233.08,5237.26,5211.16,,-0.0002,13.6,13.26,13.66,13.25,0.0837,0,0,1,1,0,0,0,1
27,2024-05-12,143.417,145.389,147.731,142.893,1920000.0,-0.013600000000000001,1,2375.0,2353.5,2385.3,2352.0,246000.0,0.0148,5222.68,5225.49,5239.66,5209.68,,0.0016,12.55,12.77,12.96,12.5,-0.011000000000000001,0,0,0,0,0,0,0,1
28,2024-05-11,145.391,146.032,147.551,143.254,3060000.0,-0.0044,0,2375.0,2353.5,2385.3,2352.0,246000.0,0.0148,5222.68,5225.49,5239.66,5209.68,,0.0016,12.55,12.77,12.96,12.5,-0.011000000000000001,0,0,1,1,0,0,0,1
29,2024-05-10,146.032,152.814,155.56,144.769,5900000.0,-0.0443,0,2375.0,2353.5,2385.3,2352.0,246000.0,0.0148,5222.68,5225.49,5239.66,5209.68,,0.0016,12.55,12.77,12.96,12.5,-0.011000000000000001,0,0,1,1,0,0,0,0
30,2024-05-09,152.795,142.169,153.202,140.643,5300000.0,0.0745,0,2340.3,2316.5,2354.2,2312.9,226530.0,0.0078000000000000005,5214.08,5189.03,5215.3,5180.41,,0.0051,12.69,13.08,13.29,12.68,-0.023799999999999998,0,0,1,1,0,0,1,0
31,2024-05-08,142.206,148.057,149.925,140.046,6000000.0,-0.039599999999999996,1,2322.3,2322.0,2329.6,2311.4,196160.0,-0.0008,5187.67,5168.98,5191.95,5165.86,,0.0,13.0,13.24,13.51,12.94,-0.0174,0,0,0,0,0,0,0,0
32,2024-05-07,148.062,152.825,159.087,147.994,5930000.0,-0.031200000000000002,0,2324.2,2334.8,2338.7,2318.2,186870.0,-0.003,5187.7,5187.2,5200.23,5178.96,,0.0013,13.23,13.52,13.64,13.16,-0.019299999999999998,0,0,1,1,0,0,1,0
33,2024-05-06,152.825,145.692,156.586,145.481,6190000.0,0.049,0,2331.2,2312.8,2341.9,2300.6,188980.0,0.0098,5180.74,5142.42,5181.0,5142.42,,0.0103,13.49,13.98,14.02,13.44,0.0,1,0,1,1,0,0,1,0
34,2024-05-05,145.692,146.056,147.966,143.255,3240000.0,-0.0025,1,2308.6,2313.5,2330.7,2285.2,226190.0,-0.0004,5127.79,5122.78,5139.12,5101.22,,0.0126,13.49,14.51,14.58,13.48,-0.08109999999999999,0,0,0,1,0,0,0,0
35,2024-05-04,146.057,143.65,147.803,142.376,4000000.0,0.0168,0,2308.6,2313.5,2330.7,2285.2,226190.0,-0.0004,5127.79,5122.78,5139.12,5101.22,,0.0126,13.49,14.51,14.58,13.48,-0.08109999999999999,0,0,1,1,0,1,0,0
36,2024-05-03,143.639,137.645,144.897,136.019,6310000.0,0.0435,1,2308.6,2313.5,2330.7,2285.2,226190.0,-0.0004,5127.79,5122.78,5139.12,5101.22,,0.0126,13.49,14.51,14.58,13.48,-0.08109999999999999,0,0,0,0,0,0,0,0
37,2024-05-02,137.648,134.642,140.67,128.284,7710000.0,0.0223,1,2309.6,2329.9,2336.1,2294.3,181820.0,-0.0006,5064.2,5049.32,5073.21,5011.05,,0.0091,14.68,15.14,16.09,14.6,-0.0461,0,0,0,0,0,0,0,1
38,2024-05-01,134.643,126.737,135.697,119.18,11140000.0,0.062400000000000004,1,2311.0,2298.2,2339.5,2291.7,215270.0,0.0034999999999999996,5018.39,5029.03,5096.12,5013.45,,-0.0034000000000000002,15.39,15.75,16.22,14.35,-0.0166,0,0,1,1,0,0,0,1
39,2024-04-30,126.74,137.718,139.687,121.528,8600000.0,-0.0795,1,2302.9,2347.0,2347.6,2296.2,221870.0,-0.0232,5035.69,5103.78,5110.83,5035.31,,-0.015700000000000002,15.65,14.82,15.9,14.67,0.0668,0,0,0,0,0,0,0,1
40,2024-04-29,137.686,137.973,138.89,133.513,5850000.0,-0.0015,0,2357.7,2347.6,2358.9,2331.0,179980.0,0.0045000000000000005,5116.17,5114.13,5123.49,5088.65,,0.0032,14.67,15.37,15.42,14.63,-0.024,0,0,1,1,0,0,1,0
41,2024-04-28,137.895,141.306,144.586,137.178,4139999.9999999995,-0.0241,0,2347.2,2344.2,2364.4,2338.0,163120.0,0.002,5099.96,5084.65,5114.62,5073.14,,0.0102,15.03,15.49,16.06,14.92,-0.022099999999999998,0,0,1,1,0,0,1,0
42,2024-04-27,141.306,139.104,142.952,133.85,5500000.0,0.0158,0,2347.2,2344.2,2364.4,2338.0,163120.0,0.002,5099.96,5084.65,5114.62,5073.14,,0.0102,15.03,15.49,16.06,14.92,-0.022099999999999998,1,0,1,1,0,0,1,0
43,2024-04-26,139.104,144.803,146.034,138.885,5250000.0,-0.0394,1,2347.2,2344.2,2364.4,2338.0,163120.0,0.002,5099.96,5084.65,5114.62,5073.14,,0.0102,15.03,15.49,16.06,14.92,-0.022099999999999998,1,0,1,1,0,0,1,0
44,2024-04-25,144.808,147.739,149.438,142.245,7350000.0,-0.019799999999999998,0,2342.5,2327.4,2357.6,2316.4,218190.0,0.0018,5048.42,5019.88,5057.75,4990.58,,-0.0046,15.37,16.25,17.55,15.27,-0.037599999999999995,1,0,1,1,0,0,1,0
45,2024-04-24,147.739,154.742,159.748,145.734,8560000.0,-0.0453,0,2338.4,2335.7,2350.9,2324.8,178250.0,-0.0016,5071.63,5084.86,5089.48,5047.02,,0.0002,15.97,15.76,16.38,15.58,0.0178,1,0,0,1,0,1,1,-1
46,2024-04-23,154.743,156.978,159.976,153.141,5730000.0,-0.014199999999999999,0,2342.1,2342.3,2347.9,2304.6,262000.0,-0.0018,5070.55,5028.85,5076.12,5027.96,,0.012,15.69,16.72,16.76,15.69,-0.0738,1,1,1,1,0,1,1,-1
47,2024-04-22,156.979,148.794,158.372,146.867,6920000.0,0.055099999999999996,0,2346.4,2403.7,2404.3,2338.2,256120.0,-0.0279,5010.6,4987.33,5038.84,4969.4,,0.0087,16.94,18.59,18.72,16.69,-0.0946,1,1,1,1,0,1,1,-1
48,2024-04-21,148.785,151.15,153.334,146.915,5120000.0,-0.015600000000000001,1,2413.8,2394.0,2433.3,2386.8,264370.0,0.0066,4967.23,5005.44,5019.02,4953.56,,-0.0088,18.71,21.33,21.36,18.17,0.0394,1,0,0,1,0,1,1,0
49,2024-04-20,151.138,142.362,152.226,139.718,6720000.0,0.0617,0,2413.8,2394.0,2433.3,2386.8,264370.0,0.0066,4967.23,5005.44,5019.02,4953.56,,-0.0088,18.71,21.33,21.36,18.17,0.0394,1,1,0,0,0,1,1,0
50,2024-04-19,142.362,142.076,147.425,128.627,15070000.0,0.0023,1,2413.8,2394.0,2433.3,2386.8,264370.0,0.0066,4967.23,5005.44,5019.02,4953.56,,-0.0088,18.71,21.33,21.36,18.17,0.0394,0,0,0,0,0,1,0,0
51,2024-04-18,142.037,131.892,143.72,128.002,10570000.0,0.0767,1,2398.0,2377.9,2408.0,2377.2,195490.0,0.004,5011.12,5031.52,5056.66,5001.89,,-0.0022,18.0,17.91,18.37,17.21,-0.0115,0,0,1,0,0,1,0,0
52,2024-04-17,131.919,136.227,142.648,127.087,13420000.0,-0.0316,1,2388.4,2398.0,2412.0,2370.7,279550.0,-0.008100000000000001,5022.21,5068.97,5077.96,5007.25,,-0.0058,18.21,18.24,19.11,17.54,-0.0103,0,0,0,0,0,0,0,0
53,2024-04-16,136.227,138.535,140.403,126.639,15130000.0,-0.016399999999999998,0,2407.8,2399.1,2414.8,2379.2,290700.0,0.0104,5051.41,5064.59,5079.84,5039.83,,-0.0021,18.4,19.49,19.56,17.64,-0.0432,0,0,1,0,0,0,0,0
54,2024-04-15,138.499,151.416,155.92,133.876,16129999.999999998,-0.08529999999999999,0,2383.0,2369.4,2404.3,2340.2,336610.0,0.0037,5061.82,5149.67,5168.43,5052.47,,-0.012,19.23,16.94,19.46,16.26,0.1109,0,0,1,0,0,0,0,0
55,2024-04-14,151.412,138.641,152.499,130.816,21550000.0,0.09210000000000002,0,2374.1,2389.4,2448.8,2350.6,479890.0,0.0006,5123.41,5171.51,5175.03,5107.94,,-0.0146,17.31,14.91,19.2,14.91,0.161,1,1,1,1,0,1,1,0
56,2024-04-13,138.641,153.255,154.838,119.471,26820000.0,-0.0955,1,2374.1,2389.4,2448.8,2350.6,479890.0,0.0006,5123.41,5171.51,5175.03,5107.94,,-0.0146,17.31,14.91,19.2,14.91,0.161,0,0,0,1,0,0,0,0
57,2024-04-12,153.281,172.374,175.891,142.597,11540000.0,-0.11109999999999999,0,2374.1,2389.4,2448.8,2350.6,479890.0,0.0006,5123.41,5171.51,5175.03,5107.94,,-0.0146,17.31,14.91,19.2,14.91,0.161,1,1,1,1,0,0,1,-1
58,2024-04-11,172.432,173.313,176.257,170.184,6300000.0,-0.0052,0,2372.7,2351.7,2395.6,2343.1,260420.00000000003,0.0103,5199.06,5172.95,5211.78,5138.77,,0.0074,14.91,16.02,17.61,14.91,-0.056299999999999996,1,1,1,1,0,1,1,-1
59,2024-04-10,173.329,172.389,175.431,163.229,7870000.0,0.0054,0,2348.4,2372.4,2378.1,2337.1,353850.0,-0.0059,5160.64,5167.88,5178.43,5138.7,,-0.0095,15.8,15.24,16.62,14.59,0.0547,1,1,1,1,0,1,1,-1
60,2024-04-09,172.39,180.691,180.853,169.362,6290000.0,-0.045899999999999996,1,2362.4,2358.1,2384.5,2355.7,279610.0,0.0048,5209.91,5217.03,5224.81,5160.78,,0.0014000000000000002,14.98,15.34,16.63,14.94,-0.0138,1,1,0,1,0,1,1,-1
61,2024-04-08,180.691,179.527,184.501,175.498,5280000.0,0.0064,0,2351.0,2343.6,2372.5,2321.7,285570.0,0.0024,5202.39,5211.37,5219.57,5197.35,,-0.0004,15.19,16.24,16.5,15.11,-0.0524,1,1,1,1,0,1,1,-1
62,2024-04-07,179.541,178.698,182.62,176.961,3530000.0,0.004699999999999999,1,2345.4,2309.5,2350.0,2286.2,293210.0,0.016,5204.34,5158.95,5222.18,5157.21,,0.0111,16.03,16.45,16.75,15.53,-0.0196,1,1,0,0,0,1,1,-1
63,2024-04-06,178.703,174.37,179.699,173.604,3910000.0,0.024900000000000002,1,2345.4,2309.5,2350.0,2286.2,293210.0,0.016,5204.34,5158.95,5222.18,5157.21,,0.0111,16.03,16.45,16.75,15.53,-0.0196,1,1,0,1,0,1,1,-1
