"Date","Price","Open","High","Low","Vol.","Change %"
"06/11/2024","153.717","159.048","159.644","152.637","3.78M","-3.35%"
"06/10/2024","159.049","162.129","163.123","157.623","2.59M","-1.90%"
"06/09/2024","162.136","157.818","163.014","156.625","2.18M","2.73%"
"06/08/2024","157.829","162.504","163.716","157.403","2.69M","-2.88%"
"06/07/2024","162.504","170.114","172.583","155.049","5.11M","-4.47%"
"06/06/2024","170.106","173.491","174.371","167.754","3.07M","-1.95%"
"06/05/2024","173.491","171.784","175.565","171.207","3.80M","1.00%"
"06/04/2024","171.778","164.898","171.859","164.446","3.29M","4.13%"
"06/03/2024","164.958","163.243","167.095","161.793","3.57M","1.05%"
"06/02/2024","163.241","166.116","167.055","161.415","2.61M","-1.73%"
"06/01/2024","166.116","165.580","167.857","165.580","1.65M","0.32%"
"05/31/2024","165.580","166.847","170.821","164.024","3.82M","-0.79%"
"05/30/2024","166.895","168.276","172.361","163.638","4.86M","-0.83%"
"05/29/2024","168.291","168.695","173.765","167.307","4.60M","-0.24%"
"05/28/2024","168.694","170.132","173.139","165.068","5.32M","-0.84%"
"05/27/2024","170.124","163.356","172.203","163.356","4.17M","4.14%"
"05/26/2024","163.354","168.379","168.388","161.180","4.30M","-2.99%"
"05/25/2024","168.385","167.775","170.406","166.077","3.03M","0.36%"
"05/24/2024","167.785","176.040","176.077","162.703","6.89M","-4.69%"
"05/23/2024","176.040","176.955","180.710","167.284","8.44M","-0.56%"
"05/22/2024","177.027","178.179","183.244","175.100","5.95M","-0.65%"
"05/21/2024","178.179","186.752","188.752","174.507","7.58M","-4.61%"
"05/20/2024","186.788","169.932","188.229","167.848","6.98M","9.92%"
"05/19/2024","169.936","172.441","175.372","166.432","3.45M","-1.45%"
"05/18/2024","172.441","169.439","175.983","168.742","3.86M","1.77%"
"05/17/2024","169.441","159.320","171.959","159.301","5.47M","6.36%"
"05/16/2024","159.306","158.285","164.395","156.778","6.09M","0.65%"
"05/15/2024","158.285","142.021","158.730","141.362","6.79M","11.45%"
"05/14/2024","142.023","147.395","148.949","141.927","4.73M","-3.66%"
"05/13/2024","147.411","143.417","150.564","138.008","5.92M","2.78%"
