,Date,Volume,SOL_Returns,BTC_Returns,ETH_Returns,MA,MA_td,3MA,3MA_td,%K,%K_td,%D,%D_td,RSI,RSI_td,Momentum,Momentum_td,EMA12,EMA26,MACD,Signal,MACD_td,TP,SMA_TP,MD,CCI,CCI_td,20D_SMA,20D_STD,Upper_BB,Lower_BB,BB_td,TR,ATR,ATR_td,Indicator
0,2020-04-10,87364276,,-0.05979058455386421,-0.07256546014258047,,0,,0,,0,,0,,0,,0,0.951054,0.951054,0.0,0.0,0,0.9862426666666667,,,,0,,,,,0,0.6193000000000001,,0,Hold
1,2020-04-11,43862444,-0.18320200535405973,-0.0009336774280999105,-0.0012399657110273576,,0,,0,,0,,0,,0,,0,0.9242486153846153,0.9381477037037037,-0.01389908831908837,-0.0027798176638176744,0,0.8636373333333333,,,,0,,,,,0,0.2840529999999999,,0,Hold
2,2020-04-12,38736897,0.13605228502392452,0.01632999467557994,0.01849627502004081,,0,,0,,0,,0,,0,,0,0.9178268284023668,0.934026170096022,-0.01619934169365511,-0.005463722469785162,0,0.867201,,,,0,,,,,0,0.19424399999999997,,0,Hold
3,2020-04-13,18211285,-0.11861095719354076,-0.018082418460512506,-0.030177465492544964,,0,,0,,0,,0,,0,,0,0.8962891624943103,0.9224562315703907,-0.02616706907608035,-0.009604391791044201,0,0.8144703333333334,,,,0,,,,,0,0.11762700000000004,,0,Sell
4,2020-04-14,16747614,-0.1490128973865822,-0.00038127825634770574,0.008426143724135082,,0,,0,,0,,0,,0,,0,0.8602331374951856,0.9031576218244358,-0.04292448432925022,-0.016268410298685407,0,0.695522,,,,0,,,,,0,0.16830299999999998,,0,Hold
5,2020-04-15,13075275,-0.023075121803829757,-0.029275847518947296,-0.027345131446221527,,0,,0,,0,,0,,0,,0,0.8273743471113109,0.884157131318922,-0.05678278420761118,-0.024371285080470564,0,0.6577153333333333,,,,0,,,,,0,0.08343300000000009,,0,Hold
6,2020-04-16,21346031,0.06829804639596948,0.07146740204408464,0.12310565020508979,,0,,0,,0,,0,,0,,0,0.8063653706326477,0.869835566036039,-0.06347019540339127,-0.03219106714505471,0,0.696705,,,,0,,,,,0,0.14908500000000002,,0,Hold
7,2020-04-17,9870810,-0.04355428942004813,-0.002897315764693542,-0.003013515906280184,,0,,0,,0,,0,,0,,0,0.7839596213045481,0.854346116700036,-0.07038649539548791,-0.03983015279514135,0,0.6803566666666666,,,,0,,,,,0,0.058885999999999994,,0,Hold
8,2020-04-18,9782112,0.03082660338293519,0.02275595672675701,0.08899759599502644,,0,,0,,0,,0,,0,,0,0.7681344487961561,0.8415127747222556,-0.0733783259260995,-0.04653978742133298,0,0.686047,,,,0,,,,,0,0.05819099999999999,,0,Sell
9,2020-04-19,9289670,-0.10883487790267454,-0.009402505300713515,-0.028350155534897614,0.7336397,0,,0,1.1862937062937047,0,,0,,0,,0,0.7433397643659783,0.8241391617798662,-0.08079939741388797,-0.053391709419843975,0,0.6300323333333333,,,,0,,,,,0,0.08615400000000006,,0,Sell
