Date,"Bitcoin","Solana","Ethereum","Cryptocurrency","Crypto","Blockchain"
2024-01-01,6371,31,986,2903,21,1610
2024-01-02,9267,39,1403,3776,22,1920
2024-01-03,15761,24,1546,6240,27,8255
2024-01-04,9113,24,1382,4493,29,2444
2024-01-05,7212,32,1317,4049,23,2072
2024-01-06,8129,23,1084,3911,27,1959
2024-01-07,7615,27,1099,3599,33,1848
2024-01-08,10479,63,1302,4013,31,2247
2024-01-09,9055,102,1269,4689,23,2820
2024-01-10,10265,29,1713,4680,17,2843
2024-01-11,15688,27,2040,5132,29,3031
2024-01-12,14010,28,1668,4617,32,2420
2024-01-13,10451,24,1297,3904,24,1959
2024-01-14,8739,20,1299,3702,29,2083
2024-01-15,10071,18,1425,3686,43,2726
2024-01-16,9023,31,1420,4172,18,2955
2024-01-17,7798,32,1347,4113,24,2894
2024-01-18,6906,27,1431,4043,39,2929
2024-01-19,8999,41,1222,3836,17,2683
2024-01-20,7571,35,1079,3434,27,2157
2024-01-21,6542,21,1037,3635,23,2031
2024-01-22,6955,26,1279,4009,24,2877
2024-01-23,6690,32,1347,4026,30,2748
2024-01-24,5830,20,1287,3776,28,2768
2024-01-25,5774,18,1358,3901,55,2782
2024-01-26,5843,22,1310,3333,37,2329
2024-01-27,5340,18,1162,3354,16,2015
2024-01-28,5150,15,1137,2679,17,1969
2024-01-29,5880,23,1295,2908,43,2785
2024-01-30,7239,23,1405,3534,25,2964
2024-01-31,6229,29,1408,4312,32,2811
2024-02-01,5854,27,1462,3766,17,2329
2024-02-02,5720,27,1224,3219,20,2073
2024-02-03,6204,27,1025,3117,22,1776
2024-02-04,6781,25,1027,3291,22,1920
2024-02-05,6931,21,1195,3372,23,2315
2024-02-06,8956,22,1196,4369,39,2350
2024-02-07,6820,22,1319,3347,27,2337
2024-02-08,7976,13,1312,3350,27,2285
2024-02-09,6974,24,1240,3319,29,2192
2024-02-10,6054,9,1177,2962,25,1725
2024-02-11,6050,22,1210,2957,20,1727
2024-02-12,7503,22,1450,3505,20,2380
2024-02-13,10839,21,1543,3570,26,2313
2024-02-14,9289,62,1327,3529,23,2578
2024-02-15,10038,19,1448,3683,35,2395
2024-02-16,7801,33,1411,3156,31,2134
2024-02-17,6253,20,1183,2995,22,1790
2024-02-18,7812,20,1300,3262,16,1983
2024-02-19,8678,25,1531,3727,27,2408
2024-02-20,9521,20,1839,3711,33,2581
2024-02-21,8399,25,1816,3571,27,2567
2024-02-22,9947,11,1690,4535,23,2554
2024-02-23,9718,27,1527,3781,27,2332
2024-02-24,7932,14,1295,3300,20,1845
2024-02-25,8259,20,1461,3816,30,2146
2024-02-26,10299,18,1808,4455,21,2678
2024-02-27,14446,36,1923,5007,33,3046
2024-02-28,20477,29,2477,5419,49,3048
2024-02-29,16555,28,2452,5770,37,3068
2024-03-01,12211,41,2047,5039,28,2724
2024-03-02,10569,21,1724,5424,27,2204
2024-03-03,10206,23,1769,5104,24,2260
2024-03-04,15014,36,2239,6137,42,3154
2024-03-05,16472,28,2577,7568,35,3334
2024-03-06,17254,28,2556,6515,51,3391
2024-03-07,16422,39,2358,5710,31,3021
2024-03-08,15235,28,2467,5184,32,2728
2024-03-09,14119,32,2291,5588,43,2252
2024-03-10,13484,39,4240,5407,21,2613
2024-03-11,19061,37,3214,5843,34,3114
2024-03-12,16282,37,2795,5616,37,3294
2024-03-13,14524,34,2719,5462,45,3350
2024-03-14,11299,49,2541,5111,41,3295
2024-03-15,10551,56,2043,4755,38,3077
2024-03-16,8614,58,1877,4301,31,2332
2024-03-17,11592,56,1786,4429,26,2224
2024-03-18,11871,81,1859,4612,37,2713
2024-03-19,13959,40,1800,4740,23,3336
2024-03-20,10501,44,2167,4623,21,3200
2024-03-21,8702,45,2061,4432,20,2805
2024-03-22,8515,53,1860,4567,23,2576
2024-03-23,6815,31,1658,4376,43,2051
2024-03-24,7100,35,1625,4413,20,2068
2024-03-25,10977,27,1813,4733,34,2640
2024-03-26,10235,42,2204,5439,35,3002
2024-03-27,8689,34,2272,5280,27,2727
2024-03-28,9566,39,2062,8875,43,2668
2024-03-29,8094,24,1805,7891,33,2474
2024-03-30,7194,39,1696,8047,41,2173
2024-03-31,6700,25,1662,6941,32,2004
2024-04-01,7496,31,1833,7106,30,2358
2024-04-02,6802,37,1657,9891,29,2565
2024-04-03,6831,25,1950,8625,57,2603
2024-04-04,8353,32,1756,6229,25,2416
2024-04-05,6781,24,1519,5262,32,2275
2024-04-06,6196,26,1324,4802,17,1869
2024-04-07,6006,32,1266,9277,25,2013
2024-04-08,6306,40,1666,6586,25,2656
2024-04-09,6019,31,1527,4189,27,2368
2024-04-10,5867,23,1395,4434,39,2217
2024-04-11,5981,26,1903,9132,34,3683
2024-04-12,7927,23,1868,4487,37,2571
2024-04-13,6476,18,1413,4200,14,2190
2024-04-14,7149,17,1731,4558,27,1935
2024-04-15,6992,24,1887,4638,50,2650
2024-04-16,6602,19,1675,4159,39,2482
2024-04-17,6796,18,1673,3910,41,2347
2024-04-18,7602,24,1568,4466,23,2509
2024-04-19,8069,23,1565,4543,27,2370
2024-04-20,10654,16,1488,4146,23,2385
2024-04-21,8430,16,1525,4855,34,2513
2024-04-22,8347,28,1712,4243,41,2784
2024-04-23,7770,18,1687,5999,31,3862
2024-04-24,33363,21,1699,32070,38,2923
2024-04-25,21055,34,1467,18583,35,2659
2024-04-26,7760,22,1537,5907,37,27976
2024-04-27,5919,18,1492,3996,27,14676
2024-04-28,6030,24,1373,3734,32,3653
2024-04-29,6164,22,1350,3746,23,2288
2024-04-30,7101,21,1428,3785,24,2250
2024-05-01,6396,22,1337,3930,28,2073
2024-05-02,5825,26,1305,3948,25,2195
2024-05-03,5283,21,1230,3915,17,2209
2024-05-04,5517,21,1242,3548,33,1770
2024-05-05,6143,13,1177,3351,32,1694
2024-05-06,6340,28,1357,3765,34,2278
2024-05-07,5708,21,1310,3554,22,2252
2024-05-08,5566,27,1288,3460,22,2285
2024-05-09,5271,26,1272,3347,34,2300
2024-05-10,4536,23,1185,2751,27,1974
2024-05-11,3888,16,950,2460,31,1563
2024-05-12,4606,10,1052,2335,19,1650
2024-05-13,4888,20,1355,2739,20,2132
2024-05-14,4991,22,1242,2915,27,2064
2024-05-15,5253,21,1365,3523,35,2029
