Category: All categories

Day,blockchain: (Worldwide)
2024-01-01,44
2024-01-02,65
2024-01-03,68
2024-01-04,64
2024-01-05,60
2024-01-06,58
2024-01-07,68
2024-01-08,68
2024-01-09,70
2024-01-10,68
2024-01-11,73
2024-01-12,63
2024-01-13,55
2024-01-14,48
2024-01-15,65
2024-01-16,67
2024-01-17,65
2024-01-18,64
2024-01-19,64
2024-01-20,48
2024-01-21,55
2024-01-22,85
2024-01-23,64
2024-01-24,67
2024-01-25,68
2024-01-26,64
2024-01-27,57
2024-01-28,49
2024-01-29,75
2024-01-30,82
2024-01-31,75
2024-02-01,68
2024-02-02,70
2024-02-03,62
2024-02-04,52
2024-02-05,73
2024-02-06,78
2024-02-07,74
2024-02-08,74
2024-02-09,79
2024-02-10,58
2024-02-11,61
2024-02-12,74
2024-02-13,77
2024-02-14,80
2024-02-15,82
2024-02-16,78
2024-02-17,65
2024-02-18,57
2024-02-19,77
2024-02-20,79
2024-02-21,83
2024-02-22,82
2024-02-23,74
2024-02-24,64
2024-02-25,64
2024-02-26,80
2024-02-27,90
2024-02-28,97
2024-02-29,96
2024-03-01,80
2024-03-02,76
2024-03-03,70
2024-03-04,97
2024-03-05,99
2024-03-06,89
2024-03-07,87
2024-03-08,83
2024-03-09,75
2024-03-10,70
2024-03-11,98
2024-03-12,100
2024-03-13,96
2024-03-14,95
2024-03-15,83
2024-03-16,80
2024-03-17,68
2024-03-18,86
2024-03-19,97
2024-03-20,98
2024-03-21,90
2024-03-22,78
2024-03-23,66
2024-03-24,69
2024-03-25,83
2024-03-26,89
2024-03-27,86
2024-03-28,89
2024-03-29,74
2024-03-30,71
2024-03-31,66
2024-04-01,79
2024-04-02,76
2024-04-03,80
2024-04-04,86
2024-04-05,76
2024-04-06,65
2024-04-07,68
2024-04-08,81
2024-04-09,80
2024-04-10,79
2024-04-11,84
2024-04-12,76
2024-04-13,70
2024-04-14,68
2024-04-15,86
2024-04-16,78
2024-04-17,78
2024-04-18,81
2024-04-19,81
2024-04-20,74
2024-04-21,65
2024-04-22,79
2024-04-23,88
2024-04-24,80
2024-04-25,82
2024-04-26,81
2024-04-27,67
2024-04-28,62
2024-04-29,76
2024-04-30,75
2024-05-01,65
2024-05-02,71
2024-05-03,69
2024-05-04,64
2024-05-05,59
2024-05-06,76
2024-05-07,77
2024-05-08,73
2024-05-09,75
2024-05-10,75
2024-05-11,62
2024-05-12,56
2024-05-13,74
2024-05-14,74
2024-05-15,75
2024-05-16,80
2024-05-17,75
2024-05-18,68
2024-05-19,60
2024-05-20,81
2024-05-21,83
2024-05-22,78
2024-05-23,75
2024-05-24,77
2024-05-25,64
2024-05-26,64
2024-05-27,77
2024-05-28,79
2024-05-29,78
2024-05-30,75
2024-05-31,73
2024-06-01,64
2024-06-02,58
2024-06-03,75
2024-06-04,73
2024-06-05,78
2024-06-06,77
2024-06-07,73
2024-06-08,64
2024-06-09,51
2024-06-10,76
2024-06-11,79
2024-06-12,76
2024-06-13,77
2024-06-14,72
2024-06-15,56
2024-06-16,52
2024-06-17,68
2024-06-18,73
2024-06-19,74
2024-06-20,73
2024-06-21,68
2024-06-22,55
2024-06-23,52
2024-06-24,70
2024-06-25,65
2024-06-26,73
2024-06-27,64
2024-06-28,64
2024-06-29,53
2024-06-30,50
2024-07-01,66
2024-07-02,65
2024-07-03,69
2024-07-04,66
2024-07-05,58
2024-07-06,52
2024-07-07,47
2024-07-08,66
