Category: All categories

Day,bitcoin: (Worldwide)
2024-01-01,32
2024-01-02,49
2024-01-03,53
2024-01-04,45
2024-01-05,43
2024-01-06,35
2024-01-07,35
2024-01-08,48
2024-01-09,57
2024-01-10,87
2024-01-11,91
2024-01-12,61
2024-01-13,46
2024-01-14,39
2024-01-15,38
2024-01-16,37
2024-01-17,35
2024-01-18,37
2024-01-19,37
2024-01-20,30
2024-01-21,28
2024-01-22,35
2024-01-23,39
2024-01-24,34
2024-01-25,32
2024-01-26,32
2024-01-27,26
2024-01-28,27
2024-01-29,28
2024-01-30,31
2024-01-31,28
2024-02-01,25
2024-02-02,26
2024-02-03,24
2024-02-04,24
2024-02-05,25
2024-02-06,25
2024-02-07,25
2024-02-08,30
2024-02-09,38
2024-02-10,30
2024-02-11,33
2024-02-12,43
2024-02-13,45
2024-02-14,48
2024-02-15,48
2024-02-16,40
2024-02-17,34
2024-02-18,32
2024-02-19,36
2024-02-20,35
2024-02-21,34
2024-02-22,32
2024-02-23,30
2024-02-24,28
2024-02-25,28
2024-02-26,38
2024-02-27,61
2024-02-28,98
2024-02-29,89
2024-03-01,62
2024-03-02,50
2024-03-03,47
2024-03-04,89
2024-03-05,100
2024-03-06,82
2024-03-07,63
2024-03-08,64
2024-03-09,55
2024-03-10,54
2024-03-11,86
2024-03-12,74
2024-03-13,69
2024-03-14,67
2024-03-15,68
2024-03-16,53
2024-03-17,53
2024-03-18,51
2024-03-19,64
2024-03-20,61
2024-03-21,53
2024-03-22,47
2024-03-23,42
2024-03-24,41
2024-03-25,52
2024-03-26,50
2024-03-27,48
2024-03-28,47
2024-03-29,45
2024-03-30,39
2024-03-31,40
2024-04-01,44
2024-04-02,52
2024-04-03,45
2024-04-04,42
2024-04-05,42
2024-04-06,36
2024-04-07,36
2024-04-08,48
2024-04-09,42
2024-04-10,42
2024-04-11,43
2024-04-12,45
2024-04-13,52
2024-04-14,58
2024-04-15,54
2024-04-16,50
2024-04-17,52
2024-04-18,55
2024-04-19,77
2024-04-20,75
2024-04-21,42
2024-04-22,45
2024-04-23,39
2024-04-24,37
2024-04-25,36
2024-04-26,33
2024-04-27,31
2024-04-28,29
2024-04-29,31
2024-04-30,38
2024-05-01,48
2024-05-02,38
2024-05-03,39
2024-05-04,32
2024-05-05,30
2024-05-06,37
2024-05-07,32
2024-05-08,30
2024-05-09,30
2024-05-10,30
2024-05-11,27
2024-05-12,26
2024-05-13,29
2024-05-14,29
2024-05-15,31
2024-05-16,33
2024-05-17,33
2024-05-18,28
2024-05-19,27
2024-05-20,34
2024-05-21,42
2024-05-22,34
2024-05-23,34
2024-05-24,33
2024-05-25,27
2024-05-26,26
2024-05-27,30
2024-05-28,30
2024-05-29,29
2024-05-30,28
2024-05-31,27
2024-06-01,24
2024-06-02,24
2024-06-03,29
2024-06-04,29
2024-06-05,33
2024-06-06,32
2024-06-07,31
2024-06-08,27
2024-06-09,25
2024-06-10,28
2024-06-11,32
2024-06-12,31
2024-06-13,30
2024-06-14,28
2024-06-15,25
2024-06-16,24
2024-06-17,28
2024-06-18,30
2024-06-19,27
2024-06-20,27
2024-06-21,27
2024-06-22,22
2024-06-23,22
2024-06-24,34
2024-06-25,32
2024-06-26,27
2024-06-27,26
2024-06-28,25
2024-06-29,22
2024-06-30,23
2024-07-01,26
2024-07-02,26
2024-07-03,28
2024-07-04,35
2024-07-05,42
2024-07-06,30
2024-07-07,28
2024-07-08,34
