Category: All categories

Day,crypto: (Worldwide)
2024-01-01,41
2024-01-02,52
2024-01-03,59
2024-01-04,49
2024-01-05,45
2024-01-06,46
2024-01-07,43
2024-01-08,45
2024-01-09,46
2024-01-10,53
2024-01-11,57
2024-01-12,47
2024-01-13,41
2024-01-14,40
2024-01-15,39
2024-01-16,41
2024-01-17,41
2024-01-18,41
2024-01-19,42
2024-01-20,36
2024-01-21,38
2024-01-22,40
2024-01-23,40
2024-01-24,38
2024-01-25,38
2024-01-26,37
2024-01-27,35
2024-01-28,36
2024-01-29,37
2024-01-30,41
2024-01-31,38
2024-02-01,36
2024-02-02,37
2024-02-03,35
2024-02-04,33
2024-02-05,37
2024-02-06,38
2024-02-07,36
2024-02-08,40
2024-02-09,42
2024-02-10,37
2024-02-11,40
2024-02-12,41
2024-02-13,47
2024-02-14,48
2024-02-15,47
2024-02-16,46
2024-02-17,42
2024-02-18,45
2024-02-19,49
2024-02-20,48
2024-02-21,46
2024-02-22,46
2024-02-23,45
2024-02-24,43
2024-02-25,47
2024-02-26,49
2024-02-27,60
2024-02-28,73
2024-02-29,73
2024-03-01,67
2024-03-02,76
2024-03-03,74
2024-03-04,90
2024-03-05,100
2024-03-06,82
2024-03-07,79
2024-03-08,78
2024-03-09,78
2024-03-10,79
2024-03-11,85
2024-03-12,83
2024-03-13,81
2024-03-14,81
2024-03-15,72
2024-03-16,70
2024-03-17,71
2024-03-18,68
2024-03-19,73
2024-03-20,65
2024-03-21,63
2024-03-22,54
2024-03-23,57
2024-03-24,58
2024-03-25,68
2024-03-26,64
2024-03-27,66
2024-03-28,71
2024-03-29,66
2024-03-30,60
2024-03-31,60
2024-04-01,61
2024-04-02,61
2024-04-03,57
2024-04-04,54
2024-04-05,51
2024-04-06,51
2024-04-07,49
2024-04-08,55
2024-04-09,52
2024-04-10,51
2024-04-11,51
2024-04-12,59
2024-04-13,63
2024-04-14,55
2024-04-15,50
2024-04-16,47
2024-04-17,46
2024-04-18,45
2024-04-19,47
2024-04-20,45
2024-04-21,43
2024-04-22,44
2024-04-23,42
2024-04-24,44
2024-04-25,43
2024-04-26,40
2024-04-27,41
2024-04-28,41
2024-04-29,42
2024-04-30,43
2024-05-01,43
2024-05-02,38
2024-05-03,37
2024-05-04,39
2024-05-05,37
2024-05-06,38
2024-05-07,38
2024-05-08,37
2024-05-09,36
2024-05-10,37
2024-05-11,32
2024-05-12,33
2024-05-13,37
2024-05-14,39
2024-05-15,40
2024-05-16,40
2024-05-17,39
2024-05-18,37
2024-05-19,36
2024-05-20,45
2024-05-21,49
2024-05-22,45
2024-05-23,44
2024-05-24,42
2024-05-25,40
2024-05-26,43
2024-05-27,49
2024-05-28,54
2024-05-29,47
2024-05-30,44
2024-05-31,41
2024-06-01,36
2024-06-02,41
2024-06-03,45
2024-06-04,46
2024-06-05,52
2024-06-06,45
2024-06-07,46
2024-06-08,43
2024-06-09,43
2024-06-10,41
2024-06-11,49
2024-06-12,44
2024-06-13,45
2024-06-14,41
2024-06-15,39
2024-06-16,36
2024-06-17,39
2024-06-18,47
2024-06-19,41
2024-06-20,41
2024-06-21,37
2024-06-22,37
2024-06-23,35
2024-06-24,40
2024-06-25,37
2024-06-26,37
2024-06-27,37
2024-06-28,34
2024-06-29,33
2024-06-30,34
2024-07-01,37
2024-07-02,36
2024-07-03,38
2024-07-04,41
2024-07-05,46
2024-07-06,36
2024-07-07,36
2024-07-08,39
2024-07-09,36
2024-07-10,37
2024-07-11,38
2024-07-12,36
