Category: All categories

Day,crypto: (Worldwide)
2024-01-01,43
2024-01-02,54
2024-01-03,62
2024-01-04,54
2024-01-05,47
2024-01-06,47
2024-01-07,44
2024-01-08,50
2024-01-09,48
2024-01-10,54
2024-01-11,57
2024-01-12,49
2024-01-13,46
2024-01-14,42
2024-01-15,41
2024-01-16,44
2024-01-17,43
2024-01-18,43
2024-01-19,42
2024-01-20,39
2024-01-21,38
2024-01-22,41
2024-01-23,41
2024-01-24,44
2024-01-25,39
2024-01-26,38
2024-01-27,38
2024-01-28,39
2024-01-29,39
2024-01-30,41
2024-01-31,41
2024-02-01,39
2024-02-02,38
2024-02-03,35
2024-02-04,36
2024-02-05,38
2024-02-06,39
2024-02-07,37
2024-02-08,42
2024-02-09,43
2024-02-10,38
2024-02-11,42
2024-02-12,43
2024-02-13,48
2024-02-14,50
2024-02-15,50
2024-02-16,48
2024-02-17,44
2024-02-18,47
2024-02-19,51
2024-02-20,50
2024-02-21,46
2024-02-22,48
2024-02-23,46
2024-02-24,45
2024-02-25,47
2024-02-26,50
2024-02-27,64
2024-02-28,74
2024-02-29,79
2024-03-01,69
2024-03-02,77
2024-03-03,75
2024-03-04,95
2024-03-05,100
2024-03-06,83
2024-03-07,81
2024-03-08,82
2024-03-09,83
2024-03-10,81
2024-03-11,87
2024-03-12,84
2024-03-13,85
2024-03-14,82
2024-03-15,77
2024-03-16,75
2024-03-17,74
2024-03-18,69
2024-03-19,74
2024-03-20,69
2024-03-21,69
2024-03-22,58
2024-03-23,59
2024-03-24,59
2024-03-25,65
2024-03-26,66
2024-03-27,69
2024-03-28,73
2024-03-29,67
2024-03-30,62
2024-03-31,63
2024-04-01,62
2024-04-02,65
2024-04-03,60
2024-04-04,55
2024-04-05,54
2024-04-06,47
2024-04-07,51
2024-04-08,56
2024-04-09,56
2024-04-10,52
2024-04-11,53
2024-04-12,61
2024-04-13,66
2024-04-14,57
2024-04-15,53
2024-04-16,50
2024-04-17,48
2024-04-18,48
2024-04-19,49
2024-04-20,47
2024-04-21,45
2024-04-22,46
2024-04-23,45
2024-04-24,48
2024-04-25,43
2024-04-26,41
2024-04-27,44
2024-04-28,42
2024-04-29,44
2024-04-30,46
2024-05-01,44
2024-05-02,39
2024-05-03,39
2024-05-04,40
2024-05-05,38
2024-05-06,39
2024-05-07,40
2024-05-08,39
2024-05-09,39
2024-05-10,38
2024-05-11,34
2024-05-12,34
2024-05-13,38
2024-05-14,40
2024-05-15,41
2024-05-16,42
2024-05-17,41
2024-05-18,39
2024-05-19,38
2024-05-20,47
2024-05-21,49
2024-05-22,48
2024-05-23,47
2024-05-24,43
2024-05-25,41
2024-05-26,44
2024-05-27,53
2024-05-28,55
2024-05-29,49
2024-05-30,47
2024-05-31,43
2024-06-01,41
2024-06-02,44
2024-06-03,47
2024-06-04,49
2024-06-05,56
2024-06-06,48
2024-06-07,48
2024-06-08,45
2024-06-09,43
2024-06-10,45
2024-06-11,50
2024-06-12,47
2024-06-13,46
2024-06-14,44
2024-06-15,39
2024-06-16,37
2024-06-17,41
2024-06-18,48
2024-06-19,41
2024-06-20,42
2024-06-21,37
2024-06-22,38
2024-06-23,36
2024-06-24,42
2024-06-25,39
2024-06-26,37
2024-06-27,38
2024-06-28,36
2024-06-29,34
2024-06-30,35
2024-07-01,37
2024-07-02,39
2024-07-03,39
2024-07-04,44
2024-07-05,50
2024-07-06,39
2024-07-07,39
2024-07-08,40
2024-07-09,38
2024-07-10,41
2024-07-11,39
2024-07-12,37
2024-07-13,37
2024-07-14,48
