Category: All categories

Day,ethereum: (Worldwide)
2024-01-01,23
2024-01-02,34
2024-01-03,30
2024-01-04,24
2024-01-05,23
2024-01-06,21
2024-01-07,22
2024-01-08,25
2024-01-09,27
2024-01-10,41
2024-01-11,60
2024-01-12,46
2024-01-13,32
2024-01-14,27
2024-01-15,30
2024-01-16,28
2024-01-17,26
2024-01-18,23
2024-01-19,23
2024-01-20,21
2024-01-21,22
2024-01-22,21
2024-01-23,25
2024-01-24,23
2024-01-25,21
2024-01-26,20
2024-01-27,18
2024-01-28,17
2024-01-29,20
2024-01-30,21
2024-01-31,19
2024-02-01,18
2024-02-02,20
2024-02-03,16
2024-02-04,16
2024-02-05,20
2024-02-06,20
2024-02-07,20
2024-02-08,22
2024-02-09,26
2024-02-10,22
2024-02-11,24
2024-02-12,27
2024-02-13,31
2024-02-14,37
2024-02-15,37
2024-02-16,33
2024-02-17,24
2024-02-18,24
2024-02-19,36
2024-02-20,38
2024-02-21,34
2024-02-22,33
2024-02-23,27
2024-02-24,26
2024-02-25,29
2024-02-26,41
2024-02-27,53
2024-02-28,67
2024-02-29,63
2024-03-01,50
2024-03-02,43
2024-03-03,40
2024-03-04,61
2024-03-05,76
2024-03-06,71
2024-03-07,58
2024-03-08,64
2024-03-09,50
2024-03-10,51
2024-03-11,73
2024-03-12,62
2024-03-13,66
2024-03-14,52
2024-03-15,51
2024-03-16,41
2024-03-17,39
2024-03-18,41
2024-03-19,47
2024-03-20,50
2024-03-21,41
2024-03-22,35
2024-03-23,28
2024-03-24,29
2024-03-25,39
2024-03-26,38
2024-03-27,34
2024-03-28,33
2024-03-29,29
2024-03-30,25
2024-03-31,27
2024-04-01,29
2024-04-02,29
2024-04-03,28
2024-04-04,25
2024-04-05,24
2024-04-06,22
2024-04-07,23
2024-04-08,31
2024-04-09,27
2024-04-10,25
2024-04-11,25
2024-04-12,26
2024-04-13,27
2024-04-14,30
2024-04-15,29
2024-04-16,26
2024-04-17,25
2024-04-18,25
2024-04-19,29
2024-04-20,24
2024-04-21,22
2024-04-22,25
2024-04-23,22
2024-04-24,22
2024-04-25,21
2024-04-26,20
2024-04-27,18
2024-04-28,21
2024-04-29,20
2024-04-30,25
2024-05-01,24
2024-05-02,21
2024-05-03,21
2024-05-04,22
2024-05-05,20
2024-05-06,20
2024-05-07,18
2024-05-08,19
2024-05-09,18
2024-05-10,18
2024-05-11,17
2024-05-12,16
2024-05-13,19
2024-05-14,19
2024-05-15,19
2024-05-16,22
2024-05-17,21
2024-05-18,20
2024-05-19,17
2024-05-20,34
2024-05-21,73
2024-05-22,52
2024-05-23,100
2024-05-24,65
2024-05-25,30
2024-05-26,28
2024-05-27,41
2024-05-28,31
2024-05-29,29
2024-05-30,27
2024-05-31,25
2024-06-01,22
2024-06-02,26
2024-06-03,27
2024-06-04,24
2024-06-05,28
2024-06-06,27
2024-06-07,34
2024-06-08,23
2024-06-09,21
2024-06-10,22
2024-06-11,23
2024-06-12,23
2024-06-13,22
2024-06-14,21
2024-06-15,19
2024-06-16,20
2024-06-17,21
2024-06-18,25
2024-06-19,22
2024-06-20,22
2024-06-21,19
2024-06-22,17
2024-06-23,17
2024-06-24,23
2024-06-25,20
2024-06-26,19
2024-06-27,19
2024-06-28,18
2024-06-29,16
2024-06-30,17
2024-07-01,19
2024-07-02,18
2024-07-03,21
2024-07-04,22
2024-07-05,26
2024-07-06,19
2024-07-07,18
2024-07-08,23
2024-07-09,21
2024-07-10,21
2024-07-11,21
2024-07-12,19
2024-07-13,18
2024-07-14,19
2024-07-15,28
2024-07-16,26
2024-07-17,25
2024-07-18,22
