Category: All categories

Day,solana: (Worldwide)
2024-01-01,35
2024-01-02,49
2024-01-03,43
2024-01-04,38
2024-01-05,36
2024-01-06,36
2024-01-07,32
2024-01-08,37
2024-01-09,34
2024-01-10,34
2024-01-11,37
2024-01-12,33
2024-01-13,33
2024-01-14,33
2024-01-15,30
2024-01-16,33
2024-01-17,35
2024-01-18,30
2024-01-19,31
2024-01-20,29
2024-01-21,29
2024-01-22,30
2024-01-23,30
2024-01-24,27
2024-01-25,25
2024-01-26,31
2024-01-27,30
2024-01-28,31
2024-01-29,33
2024-01-30,36
2024-01-31,36
2024-02-01,33
2024-02-02,30
2024-02-03,26
2024-02-04,26
2024-02-05,28
2024-02-06,37
2024-02-07,29
2024-02-08,31
2024-02-09,28
2024-02-10,30
2024-02-11,30
2024-02-12,30
2024-02-13,34
2024-02-14,35
2024-02-15,32
2024-02-16,30
2024-02-17,26
2024-02-18,27
2024-02-19,30
2024-02-20,26
2024-02-21,28
2024-02-22,26
2024-02-23,26
2024-02-24,24
2024-02-25,24
2024-02-26,28
2024-02-27,34
2024-02-28,39
2024-02-29,51
2024-03-01,42
2024-03-02,37
2024-03-03,41
2024-03-04,45
2024-03-05,45
2024-03-06,45
2024-03-07,56
2024-03-08,51
2024-03-09,50
2024-03-10,47
2024-03-11,53
2024-03-12,48
2024-03-13,56
2024-03-14,75
2024-03-15,85
2024-03-16,95
2024-03-17,87
2024-03-18,100
2024-03-19,82
2024-03-20,60
2024-03-21,55
2024-03-22,50
2024-03-23,46
2024-03-24,47
2024-03-25,53
2024-03-26,50
2024-03-27,47
2024-03-28,47
2024-03-29,48
2024-03-30,49
2024-03-31,48
2024-04-01,52
2024-04-02,48
2024-04-03,48
2024-04-04,45
2024-04-05,52
2024-04-06,44
2024-04-07,44
2024-04-08,47
2024-04-09,40
2024-04-10,40
2024-04-11,38
2024-04-12,43
2024-04-13,50
2024-04-14,44
2024-04-15,39
2024-04-16,40
2024-04-17,35
2024-04-18,34
2024-04-19,35
2024-04-20,34
2024-04-21,36
2024-04-22,35
2024-04-23,32
2024-04-24,34
2024-04-25,29
2024-04-26,30
2024-04-27,30
2024-04-28,27
2024-04-29,29
2024-04-30,33
2024-05-01,34
2024-05-02,29
2024-05-03,29
2024-05-04,29
2024-05-05,27
2024-05-06,29
2024-05-07,29
2024-05-08,28
2024-05-09,28
2024-05-10,29
2024-05-11,25
2024-05-12,25
2024-05-13,29
2024-05-14,26
2024-05-15,28
2024-05-16,34
2024-05-17,30
2024-05-18,37
2024-05-19,37
2024-05-20,43
2024-05-21,42
2024-05-22,36
2024-05-23,36
2024-05-24,36
2024-05-25,35
2024-05-26,36
2024-05-27,37
2024-05-28,35
2024-05-29,37
2024-05-30,36
2024-05-31,33
2024-06-01,29
2024-06-02,28
2024-06-03,30
2024-06-04,30
2024-06-05,34
2024-06-06,31
2024-06-07,36
2024-06-08,31
2024-06-09,28
2024-06-10,29
2024-06-11,33
2024-06-12,33
2024-06-13,34
2024-06-14,36
2024-06-15,29
2024-06-16,27
2024-06-17,29
2024-06-18,34
2024-06-19,29
2024-06-20,31
2024-06-21,36
2024-06-22,28
2024-06-23,26
2024-06-24,37
2024-06-25,29
2024-06-26,27
2024-06-27,36
2024-06-28,35
2024-06-29,28
2024-06-30,28
2024-07-01,31
2024-07-02,34
2024-07-03,34
2024-07-04,29
2024-07-05,30
2024-07-06,28
2024-07-07,26
2024-07-08,27
2024-07-09,28
2024-07-10,26
2024-07-11,27
2024-07-12,25
2024-07-13,24
2024-07-14,25
2024-07-15,30
2024-07-16,32
2024-07-17,30
2024-07-18,27
