Category: All categories

Day,ethereum: (Worldwide)
2024-01-01,25
2024-01-02,32
2024-01-03,29
2024-01-04,26
2024-01-05,24
2024-01-06,23
2024-01-07,21
2024-01-08,25
2024-01-09,27
2024-01-10,41
2024-01-11,59
2024-01-12,48
2024-01-13,32
2024-01-14,28
2024-01-15,28
2024-01-16,29
2024-01-17,26
2024-01-18,24
2024-01-19,24
2024-01-20,20
2024-01-21,21
2024-01-22,24
2024-01-23,26
2024-01-24,24
2024-01-25,21
2024-01-26,22
2024-01-27,18
2024-01-28,19
2024-01-29,22
2024-01-30,21
2024-01-31,20
2024-02-01,18
2024-02-02,19
2024-02-03,16
2024-02-04,17
2024-02-05,18
2024-02-06,20
2024-02-07,20
2024-02-08,22
2024-02-09,28
2024-02-10,23
2024-02-11,26
2024-02-12,28
2024-02-13,30
2024-02-14,34
2024-02-15,35
2024-02-16,30
2024-02-17,25
2024-02-18,26
2024-02-19,36
2024-02-20,36
2024-02-21,33
2024-02-22,32
2024-02-23,28
2024-02-24,28
2024-02-25,31
2024-02-26,40
2024-02-27,54
2024-02-28,67
2024-02-29,66
2024-03-01,52
2024-03-02,41
2024-03-03,39
2024-03-04,63
2024-03-05,77
2024-03-06,70
2024-03-07,59
2024-03-08,67
2024-03-09,49
2024-03-10,52
2024-03-11,71
2024-03-12,63
2024-03-13,65
2024-03-14,54
2024-03-15,51
2024-03-16,37
2024-03-17,39
2024-03-18,41
2024-03-19,47
2024-03-20,50
2024-03-21,41
2024-03-22,33
2024-03-23,29
2024-03-24,29
2024-03-25,37
2024-03-26,36
2024-03-27,31
2024-03-28,33
2024-03-29,29
2024-03-30,27
2024-03-31,30
2024-04-01,28
2024-04-02,30
2024-04-03,28
2024-04-04,29
2024-04-05,26
2024-04-06,24
2024-04-07,24
2024-04-08,31
2024-04-09,29
2024-04-10,26
2024-04-11,27
2024-04-12,27
2024-04-13,29
2024-04-14,30
2024-04-15,29
2024-04-16,26
2024-04-17,25
2024-04-18,25
2024-04-19,27
2024-04-20,24
2024-04-21,26
2024-04-22,26
2024-04-23,22
2024-04-24,25
2024-04-25,21
2024-04-26,21
2024-04-27,20
2024-04-28,22
2024-04-29,22
2024-04-30,25
2024-05-01,25
2024-05-02,22
2024-05-03,20
2024-05-04,21
2024-05-05,19
2024-05-06,22
2024-05-07,19
2024-05-08,19
2024-05-09,18
2024-05-10,20
2024-05-11,17
2024-05-12,16
2024-05-13,20
2024-05-14,19
2024-05-15,21
2024-05-16,23
2024-05-17,21
2024-05-18,20
2024-05-19,19
2024-05-20,34
2024-05-21,71
2024-05-22,53
2024-05-23,100
2024-05-24,66
2024-05-25,30
2024-05-26,32
2024-05-27,40
2024-05-28,33
2024-05-29,29
2024-05-30,27
2024-05-31,25
2024-06-01,22
2024-06-02,24
2024-06-03,28
2024-06-04,24
2024-06-05,28
2024-06-06,28
2024-06-07,31
2024-06-08,23
2024-06-09,21
2024-06-10,22
2024-06-11,25
2024-06-12,23
2024-06-13,20
2024-06-14,21
2024-06-15,21
2024-06-16,21
2024-06-17,21
2024-06-18,23
2024-06-19,23
2024-06-20,22
2024-06-21,19
2024-06-22,17
2024-06-23,17
2024-06-24,22
2024-06-25,21
2024-06-26,19
2024-06-27,20
2024-06-28,19
2024-06-29,16
2024-06-30,17
2024-07-01,20
2024-07-02,18
2024-07-03,20
2024-07-04,23
2024-07-05,26
2024-07-06,20
2024-07-07,19
2024-07-08,23
