Category: All categories

Month,bitcoin: (Worldwide)
2018-01,82
2018-02,61
2018-03,35
2018-04,27
2018-05,22
2018-06,19
2018-07,19
2018-08,18
2018-09,17
2018-10,14
2018-11,20
2018-12,19
2019-01,14
2019-02,14
2019-03,13
2019-04,17
2019-05,25
2019-06,29
2019-07,28
2019-08,23
2019-09,19
2019-10,18
2019-11,17
2019-12,15
2020-01,19
2020-02,20
2020-03,29
2020-04,23
2020-05,30
2020-06,21
2020-07,22
2020-08,23
2020-09,19
2020-10,20
2020-11,34
2020-12,47
2021-01,89
2021-02,100
2021-03,75
2021-04,73
2021-05,95
2021-06,67
2021-07,46
2021-08,46
2021-09,46
2021-10,55
2021-11,51
2021-12,51
2022-01,64
2022-02,52
2022-03,45
2022-04,34
2022-05,54
2022-06,62
2022-07,45
2022-08,34
2022-09,31
2022-10,26
2022-11,37
2022-12,26
2023-01,31
2023-02,28
2023-03,33
2023-04,31
2023-05,26
2023-06,26
2023-07,27
2023-08,26
2023-09,23
2023-10,28
2023-11,30
2023-12,36
2024-01,40
2024-02,38
2024-03,62
2024-04,46
2024-05,32
2024-06,28
2024-07,31
