Category: All categories

Month,blockchain: (Worldwide)
2018-01,100
2018-02,72
2018-03,64
2018-04,54
2018-05,60
2018-06,50
2018-07,51
2018-08,48
2018-09,49
2018-10,50
2018-11,48
2018-12,37
2019-01,37
2019-02,38
2019-03,36
2019-04,43
2019-05,46
2019-06,41
2019-07,36
2019-08,33
2019-09,33
2019-10,33
2019-11,34
2019-12,28
2020-01,31
2020-02,31
2020-03,27
2020-04,29
2020-05,32
2020-06,29
2020-07,31
2020-08,31
2020-09,28
2020-10,26
2020-11,33
2020-12,34
2021-01,48
2021-02,67
2021-03,58
2021-04,57
2021-05,60
2021-06,44
2021-07,37
2021-08,41
2021-09,44
2021-10,48
2021-11,56
2021-12,51
2022-01,64
2022-02,63
2022-03,58
2022-04,56
2022-05,53
2022-06,46
2022-07,40
2022-08,40
2022-09,41
2022-10,38
2022-11,40
2022-12,33
2023-01,35
2023-02,36
2023-03,34
2023-04,31
2023-05,31
2023-06,31
2023-07,32
2023-08,31
2023-09,31
2023-10,31
2023-11,32
2023-12,32
2024-01,32
2024-02,37
2024-03,41
2024-04,38
2024-05,39
2024-06,35
2024-07,32
