Category: All categories

Month,crypto: (Worldwide)
2018-01,35
2018-02,18
2018-03,12
2018-04,10
2018-05,10
2018-06,8
2018-07,8
2018-08,7
2018-09,8
2018-10,8
2018-11,7
2018-12,6
2019-01,6
2019-02,6
2019-03,6
2019-04,7
2019-05,8
2019-06,9
2019-07,7
2019-08,6
2019-09,6
2019-10,6
2019-11,6
2019-12,6
2020-01,6
2020-02,8
2020-03,6
2020-04,7
2020-05,9
2020-06,8
2020-07,9
2020-08,12
2020-09,9
2020-10,8
2020-11,11
2020-12,13
2021-01,28
2021-02,48
2021-03,42
2021-04,71
2021-05,100
2021-06,45
2021-07,33
2021-08,46
2021-09,51
2021-10,62
2021-11,94
2021-12,72
2022-01,84
2022-02,64
2022-03,54
2022-04,49
2022-05,56
2022-06,39
2022-07,33
2022-08,30
2022-09,29
2022-10,27
2022-11,36
2022-12,26
2023-01,28
2023-02,27
2023-03,27
2023-04,26
2023-05,23
2023-06,23
2023-07,24
2023-08,24
2023-09,20
2023-10,22
2023-11,28
2023-12,35
2024-01,34
2024-02,35
2024-03,58
2024-04,38
2024-05,32
2024-06,33
2024-07,33
