Date,"Bitcoin","Solana","Ethereum","Cryptocurrency","Crypto","Blockchain"
2018-01-01,65416,7,6340,17025,61,17094
2018-01-02,85549,13,10701,26032,84,29727
2018-01-03,91452,23,11354,28094,75,30901
2018-01-04,86342,12,12828,31526,94,29282
2018-01-05,79232,14,12177,30220,87,27745
2018-01-06,79836,12,9585,25897,92,19932
2018-01-07,79013,14,11149,27475,87,20199
2018-01-08,87562,21,14735,29239,91,28280
2018-01-09,91854,20,14687,30550,91,34827
2018-01-10,99815,13,17235,34386,127,43813
2018-01-11,88028,76,12743,33670,102,36305
2018-01-12,75933,40,11185,31526,111,29537
2018-01-13,65514,14,10510,29519,66,21366
2018-01-14,57507,13,10156,26781,70,22678
2018-01-15,63876,21,11369,31243,78,29562
2018-01-16,74029,22,12568,32101,75,31519
2018-01-17,89187,18,12326,31005,101,34922
2018-01-18,70655,10,9842,26873,59,32046
2018-01-19,58273,17,8853,22342,60,28281
2018-01-20,50979,31,7322,18145,47,20125
2018-01-21,47043,27,7714,17495,56,23320
2018-01-22,53460,35,8164,19995,62,30109
2018-01-23,48401,37,7817,19979,72,29978
2018-01-24,50792,15,7988,20269,53,29715
2018-01-25,53599,9,7597,19234,85,30163
2018-01-26,45074,37,6417,16005,64,23840
2018-01-27,39103,19,5458,15475,48,18429
2018-01-28,39525,17,6198,15539,52,18520
2018-01-29,41255,26,7367,17927,59,29246
2018-01-30,39961,16,7102,15886,61,25439
2018-01-31,44012,21,7295,16237,416,24301
2018-02-01,47413,6,7259,18365,60,26612
2018-02-02,52986,13,6668,17443,71,24654
2018-02-03,44264,12,5381,12769,57,18095
2018-02-04,42910,18,7649,12406,61,17154
2018-02-05,56614,9,13379,14855,62,24217
2018-02-06,57917,19,7078,17294,64,26168
2018-02-07,42782,13,6359,15240,64,25792
2018-02-08,40473,22,5978,14324,68,24272
2018-02-09,40043,9,5413,13656,68,21384
2018-02-10,33655,19,4347,10921,50,14217
2018-02-11,33358,20,5133,11038,51,13803
2018-02-12,42788,13,5980,14276,68,20625
2018-02-13,37817,9,5586,12944,58,21658
2018-02-14,34123,7,5536,12978,50,21471
2018-02-15,36704,12,5896,15841,66,29255
2018-02-16,31048,11,4614,10673,30,22158
2018-02-17,28385,8,4092,8927,40,15409
2018-02-18,26705,13,4019,9262,33,14579
2018-02-19,26856,12,5410,10865,53,23370
2018-02-20,38980,9,5340,12733,52,25260
2018-02-21,24746,13,4818,12633,58,21824
2018-02-22,23720,10,4588,12216,53,23017
2018-02-23,20187,5,3960,9920,52,20493
2018-02-24,18489,8,3522,8721,37,13840
2018-02-25,23615,11,6777,9700,26,13772
2018-02-26,24751,10,8009,12025,49,21454
2018-02-27,27708,19,10418,14229,59,23491
2018-02-28,23812,15,8557,11572,43,22925
2018-03-01,19703,13,3646,9256,45,21252
2018-03-02,28651,12,3428,10001,41,17812
2018-03-03,17645,11,3071,7411,38,12487
2018-03-04,17668,13,2905,7446,41,12820
2018-03-05,18631,12,3914,8795,58,19311
2018-03-06,31665,14,4010,8746,54,21499
2018-03-07,25862,14,3662,9190,51,21677
2018-03-08,18247,15,3652,8516,41,20327
2018-03-09,18272,12,3365,7846,48,17883
2018-03-10,15591,16,2855,6568,42,12457
2018-03-11,20093,20,3572,6977,665,12963
2018-03-12,21664,4,4051,10107,53,23667
2018-03-13,20618,21,3709,11137,68,22960
2018-03-14,18965,19,3551,12366,75,21431
2018-03-15,19632,15,3281,10377,56,20035
2018-03-16,17650,17,2875,8614,49,18800
2018-03-17,14444,18,2932,7781,31,13946
2018-03-18,16792,16,5673,10336,73,13824
2018-03-19,28645,22,26233,16530,61,19792
2018-03-20,22021,23,12973,13919,117,21038
2018-03-21,26294,16,22997,12748,95,22592
2018-03-22,32044,12,30494,22202,78,24188
2018-03-23,26204,18,24796,7493,80,20606
2018-03-24,14517,15,2910,10174,66,12560
2018-03-25,12644,10,2275,6149,67,11565
2018-03-26,25896,13,3411,7980,88,18136
2018-03-27,20067,23,3432,10329,78,19709
2018-03-28,25001,19,4205,10365,91,18194
2018-03-29,17879,17,5073,8019,102,16543
2018-03-30,18396,19,4649,7901,61,12973
2018-03-31,12176,10,3918,6627,48,10526
2018-04-01,13807,17,4164,7249,69,13337
2018-04-02,18749,19,4200,10098,84,16538
2018-04-03,18075,10,4946,10420,81,18150
2018-04-04,20736,9,5719,8280,91,17498
2018-04-05,20691,19,5109,9839,91,17715
2018-04-06,18699,12,4381,8232,80,16530
2018-04-07,17621,16,4908,12850,37,10982
2018-04-08,17800,13,5320,7155,51,12154
2018-04-09,14955,11,4354,8036,81,18676
2018-04-10,18262,27,4345,9935,86,19021
2018-04-11,14757,15,4084,7876,93,19001
2018-04-12,16972,21,4372,12208,76,18707
2018-04-13,15121,11,3846,7177,70,16826
2018-04-14,12104,15,3346,5823,34,9607
2018-04-15,12138,11,3584,6278,65,10988
2018-04-16,15892,20,4411,9377,86,17912
2018-04-17,17430,13,4038,9535,85,23288
2018-04-18,16359,21,4847,8656,59,17246
2018-04-19,15434,12,3915,7700,90,16499
2018-04-20,15265,23,4484,7029,94,14978
2018-04-21,15777,9,4366,6362,67,11454
